year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,5,0
1965,9,0
1966,0,5
1967,7,0
1968,24,8
1969,24,0
1970,27,9
1971,41,7
1972,40,15
1973,112,19
1974,121,11
1975,116,19
1976,126,29
1977,77,12
1978,68,9
1979,78,16
1980,68,12
1981,65,13
1982,64,13
1983,61,12
1984,82,11
1985,82,12
1986,96,0
1987,94,8
1988,87,12
1989,69,0
1990,58,14
1991,53,5
1992,60,8
1993,54,14
1994,70,11
1995,48,11
1996,37,5
1997,50,12
1998,47,9
1999,39,12
2000,45,26
2001,39,15
2002,35,12
2003,39,16
2004,28,17
2005,19,15
2006,24,24
2007,22,30
2008,25,23
2009,16,13
2010,15,10
2011,7,18
2012,10,21
2013,8,15
2014,5,17
2015,9,20
2016,0,10
2017,0,11
2018,6,17
2019,0,11
