year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,7
1940,5,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,8,6
1947,0,0
1948,6,0
1949,0,0
1950,0,0
1951,6,0
1952,5,0
1953,0,0
1954,7,0
1955,5,0
1956,7,0
1957,7,0
1958,10,10
1959,7,11
1960,10,18
1961,6,13
1962,12,23
1963,16,21
1964,13,26
1965,6,67
1966,8,56
1967,0,51
1968,10,56
1969,10,157
1970,19,207
1971,12,212
1972,14,148
1973,13,156
1974,9,168
1975,13,143
1976,12,149
1977,12,177
1978,9,153
1979,8,111
1980,7,91
1981,11,82
1982,8,80
1983,11,80
1984,11,80
1985,9,81
1986,7,58
1987,9,82
1988,30,100
1989,55,190
1990,42,259
1991,38,271
1992,305,349
1993,523,566
1994,869,674
1995,680,594
1996,483,537
1997,572,596
1998,462,639
1999,308,564
2000,253,599
2001,214,561
2002,180,487
2003,142,448
2004,111,421
2005,99,373
2006,79,412
2007,75,445
2008,54,414
2009,42,368
2010,36,380
2011,28,333
2012,15,314
2013,18,289
2014,15,288
2015,24,296
2016,14,266
2017,11,274
2018,19,265
2019,17,227
