year,Girls,Boys
1880,0,0
1881,0,5
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,5
1887,0,0
1888,0,0
1889,0,0
1890,0,5
1891,0,6
1892,0,0
1893,0,5
1894,0,5
1895,0,5
1896,0,6
1897,0,10
1898,0,14
1899,0,8
1900,0,9
1901,0,7
1902,0,11
1903,0,8
1904,0,9
1905,0,11
1906,0,14
1907,0,23
1908,0,18
1909,0,15
1910,0,29
1911,0,38
1912,0,94
1913,0,116
1914,0,130
1915,0,231
1916,7,222
1917,0,241
1918,0,250
1919,0,291
1920,0,359
1921,5,370
1922,0,379
1923,6,462
1924,7,509
1925,5,523
1926,5,578
1927,7,603
1928,10,649
1929,13,696
1930,6,828
1931,10,834
1932,12,992
1933,8,1026
1934,7,1129
1935,11,1152
1936,9,1207
1937,17,1260
1938,9,1355
1939,14,1340
1940,16,1431
1941,14,1529
1942,12,1591
1943,18,1529
1944,15,1580
1945,15,1521
1946,16,1906
1947,17,2285
1948,27,2336
1949,22,2518
1950,21,2496
1951,14,2744
1952,14,2867
1953,14,3152
1954,24,3645
1955,17,3905
1956,26,4462
1957,24,4571
1958,26,4772
1959,18,4641
1960,17,4148
1961,22,4195
1962,32,3880
1963,28,4097
1964,25,3969
1965,20,3893
1966,26,3496
1967,28,3651
1968,29,3448
1969,31,3250
1970,36,3148
1971,28,2815
1972,19,2310
1973,23,1979
1974,16,1840
1975,23,1673
1976,13,1664
1977,14,1656
1978,16,1465
1979,29,1527
1980,12,1462
1981,10,1360
1982,9,1392
1983,22,1333
1984,11,1334
1985,10,1323
1986,14,1308
1987,10,1233
1988,16,1213
1989,15,1208
1990,9,1128
1991,0,1019
1992,0,915
1993,7,876
1994,0,746
1995,5,628
1996,5,609
1997,5,556
1998,0,533
1999,0,545
2000,0,499
2001,8,453
2002,0,405
2003,0,400
2004,0,410
2005,0,403
2006,0,414
2007,0,416
2008,0,388
2009,0,317
2010,0,303
2011,5,338
2012,0,288
2013,0,286
2014,0,259
2015,0,225
2016,0,235
2017,0,239
2018,0,188
2019,0,166
