year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,5,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,5,0
1928,0,0
1929,7,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,6,0
1941,5,0
1942,0,0
1943,9,0
1944,8,0
1945,5,0
1946,7,0
1947,0,0
1948,12,0
1949,11,0
1950,14,0
1951,16,0
1952,16,0
1953,15,0
1954,6,0
1955,18,0
1956,21,0
1957,16,0
1958,19,0
1959,15,0
1960,14,0
1961,21,0
1962,29,0
1963,46,0
1964,45,0
1965,66,0
1966,65,0
1967,88,0
1968,156,0
1969,138,0
1970,155,0
1971,184,0
1972,176,0
1973,176,0
1974,178,0
1975,181,0
1976,187,0
1977,178,0
1978,183,0
1979,201,0
1980,176,0
1981,176,0
1982,148,0
1983,150,0
1984,148,0
1985,100,0
1986,142,0
1987,163,0
1988,159,0
1989,126,0
1990,147,0
1991,125,0
1992,143,0
1993,119,0
1994,99,0
1995,90,0
1996,121,0
1997,115,0
1998,123,0
1999,126,0
2000,96,0
2001,105,0
2002,96,0
2003,96,0
2004,81,0
2005,72,0
2006,88,0
2007,101,0
2008,104,0
2009,117,0
2010,112,0
2011,125,0
2012,108,0
2013,120,0
2014,187,0
2015,215,0
2016,273,0
2017,314,0
2018,391,0
2019,375,0
