year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,5,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,6,0
1952,9,0
1953,12,0
1954,6,0
1955,20,0
1956,19,5
1957,15,6
1958,15,0
1959,16,0
1960,20,0
1961,40,0
1962,32,6
1963,46,7
1964,44,8
1965,69,7
1966,39,12
1967,43,9
1968,50,17
1969,57,19
1970,68,27
1971,72,19
1972,72,27
1973,70,34
1974,74,40
1975,82,55
1976,50,49
1977,80,46
1978,57,55
1979,64,43
1980,59,52
1981,53,41
1982,41,34
1983,47,47
1984,49,44
1985,36,48
1986,33,45
1987,29,52
1988,27,58
1989,22,53
1990,14,44
1991,18,48
1992,20,37
1993,8,40
1994,8,30
1995,5,29
1996,8,29
1997,0,27
1998,8,18
1999,6,25
2000,6,19
2001,5,28
2002,0,18
2003,0,16
2004,0,22
2005,0,21
2006,0,25
2007,0,16
2008,0,23
2009,0,20
2010,0,15
2011,0,19
2012,0,23
2013,0,19
2014,0,15
2015,0,15
2016,0,5
2017,0,12
2018,0,6
2019,0,9
