year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,6,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,6,0
1952,5,0
1953,6,0
1954,10,0
1955,13,0
1956,12,0
1957,9,0
1958,7,0
1959,6,0
1960,9,0
1961,9,0
1962,11,0
1963,7,0
1964,5,0
1965,6,0
1966,8,0
1967,0,0
1968,5,0
1969,13,0
1970,7,0
1971,14,0
1972,17,0
1973,14,0
1974,22,0
1975,16,6
1976,13,0
1977,17,0
1978,18,0
1979,10,0
1980,11,5
1981,9,5
1982,10,0
1983,7,0
1984,0,0
1985,0,0
1986,7,6
1987,8,0
1988,17,0
1989,13,5
1990,11,0
1991,22,0
1992,13,0
1993,15,0
1994,14,5
1995,12,5
1996,12,0
1997,12,5
1998,16,6
1999,11,0
2000,9,6
2001,5,7
2002,9,6
2003,8,7
2004,7,13
2005,6,5
2006,6,8
2007,8,9
2008,8,12
2009,0,6
2010,10,0
2011,6,6
2012,0,0
2013,6,5
2014,0,0
2015,0,5
2016,0,0
2017,6,5
2018,5,6
2019,8,0
