year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,6
1915,0,7
1916,0,0
1917,0,7
1918,0,0
1919,0,0
1920,0,7
1921,0,0
1922,0,6
1923,0,5
1924,0,10
1925,0,7
1926,0,8
1927,0,6
1928,0,7
1929,0,11
1930,0,10
1931,0,9
1932,5,14
1933,0,14
1934,5,27
1935,5,12
1936,5,20
1937,0,23
1938,0,11
1939,0,15
1940,0,14
1941,0,21
1942,8,14
1943,5,18
1944,0,18
1945,0,22
1946,0,21
1947,7,21
1948,5,25
1949,5,27
1950,0,27
1951,0,34
1952,8,27
1953,6,40
1954,7,26
1955,6,29
1956,10,25
1957,5,50
1958,0,44
1959,6,33
1960,5,35
1961,12,36
1962,0,24
1963,5,28
1964,6,36
1965,0,26
1966,0,21
1967,0,28
1968,0,13
1969,0,14
1970,6,30
1971,0,22
1972,0,22
1973,5,20
1974,0,19
1975,0,17
1976,0,19
1977,0,13
1978,0,11
1979,0,14
1980,0,16
1981,0,9
1982,0,12
1983,0,16
1984,0,12
1985,0,23
1986,0,12
1987,0,9
1988,0,11
1989,0,11
1990,0,12
1991,0,13
1992,0,5
1993,0,11
1994,0,11
1995,0,12
1996,0,18
1997,0,6
1998,0,8
1999,0,6
2000,0,9
2001,0,5
2002,0,6
2003,0,11
2004,0,5
2005,0,7
2006,0,9
2007,0,11
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,6
2015,0,7
2016,0,6
2017,0,0
2018,0,0
2019,0,0
