year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,6,0
1912,0,0
1913,0,0
1914,0,0
1915,9,0
1916,8,0
1917,0,0
1918,10,0
1919,6,0
1920,17,0
1921,19,0
1922,19,0
1923,13,0
1924,19,0
1925,21,0
1926,26,0
1927,18,0
1928,47,0
1929,74,0
1930,73,0
1931,104,0
1932,146,0
1933,197,0
1934,312,0
1935,413,0
1936,381,0
1937,673,0
1938,817,0
1939,922,0
1940,1235,0
1941,1630,7
1942,2546,7
1943,3193,10
1944,3107,12
1945,3611,16
1946,4279,7
1947,4414,6
1948,4138,9
1949,4141,8
1950,3922,0
1951,4033,12
1952,3895,8
1953,3617,0
1954,3644,11
1955,3495,12
1956,3066,6
1957,3184,5
1958,2931,5
1959,2700,11
1960,2621,0
1961,2172,0
1962,2062,7
1963,1898,7
1964,1823,9
1965,1638,6
1966,1428,0
1967,1222,0
1968,1110,0
1969,955,0
1970,976,0
1971,618,0
1972,479,0
1973,390,0
1974,314,0
1975,243,0
1976,216,0
1977,204,0
1978,169,0
1979,195,0
1980,156,0
1981,175,0
1982,175,0
1983,167,0
1984,162,0
1985,139,0
1986,121,0
1987,156,0
1988,137,5
1989,129,0
1990,140,0
1991,114,0
1992,109,0
1993,100,0
1994,107,0
1995,70,0
1996,84,0
1997,82,0
1998,73,0
1999,67,0
2000,66,0
2001,74,0
2002,70,0
2003,45,0
2004,55,0
2005,39,0
2006,46,0
2007,59,0
2008,49,0
2009,46,0
2010,43,0
2011,39,0
2012,34,0
2013,35,0
2014,20,0
2015,26,0
2016,30,0
2017,17,0
2018,22,0
2019,18,0
