year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,6
1915,0,5
1916,0,0
1917,0,0
1918,0,10
1919,0,5
1920,0,0
1921,0,0
1922,0,6
1923,0,7
1924,0,5
1925,0,5
1926,0,5
1927,0,8
1928,0,0
1929,0,5
1930,0,0
1931,0,6
1932,0,0
1933,0,0
1934,0,0
1935,0,5
1936,0,7
1937,0,7
1938,0,8
1939,0,9
1940,0,6
1941,0,7
1942,0,5
1943,0,6
1944,0,0
1945,0,7
1946,0,12
1947,0,11
1948,0,8
1949,0,10
1950,0,9
1951,0,9
1952,0,9
1953,0,10
1954,0,11
1955,0,10
1956,0,9
1957,0,14
1958,0,11
1959,0,13
1960,0,9
1961,0,15
1962,0,6
1963,0,7
1964,0,5
1965,0,5
1966,0,0
1967,0,5
1968,0,6
1969,0,8
1970,0,14
1971,0,12
1972,0,5
1973,0,6
1974,0,0
1975,0,6
1976,0,6
1977,0,11
1978,0,5
1979,0,6
1980,0,0
1981,0,0
1982,0,6
1983,0,8
1984,0,0
1985,0,0
1986,0,0
1987,0,6
1988,0,0
1989,0,10
1990,0,7
1991,0,8
1992,0,8
1993,0,10
1994,0,6
1995,0,7
1996,0,9
1997,0,7
1998,0,0
1999,0,5
2000,0,6
2001,0,5
2002,0,8
2003,0,0
2004,0,5
2005,0,0
2006,0,5
2007,0,5
2008,0,11
2009,0,0
2010,0,6
2011,0,5
2012,0,6
2013,0,7
2014,0,0
2015,0,9
2016,0,7
2017,0,0
2018,0,0
2019,0,0
