year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,8
1915,0,5
1916,0,7
1917,0,8
1918,0,12
1919,0,9
1920,0,13
1921,0,16
1922,0,11
1923,0,9
1924,0,16
1925,0,6
1926,0,7
1927,0,16
1928,0,10
1929,0,14
1930,0,17
1931,0,11
1932,0,15
1933,0,13
1934,0,21
1935,0,17
1936,0,15
1937,0,18
1938,0,16
1939,0,12
1940,0,11
1941,0,15
1942,0,9
1943,0,12
1944,0,8
1945,0,9
1946,0,18
1947,0,18
1948,0,17
1949,0,18
1950,0,9
1951,0,7
1952,0,14
1953,0,16
1954,0,16
1955,0,16
1956,0,17
1957,0,7
1958,0,12
1959,0,12
1960,0,17
1961,0,8
1962,0,17
1963,0,19
1964,0,8
1965,0,11
1966,0,5
1967,0,12
1968,0,6
1969,0,11
1970,0,26
1971,0,16
1972,0,13
1973,0,10
1974,0,13
1975,0,14
1976,0,5
1977,0,9
1978,0,19
1979,0,12
1980,0,11
1981,0,12
1982,0,9
1983,0,11
1984,0,11
1985,0,6
1986,0,6
1987,0,10
1988,0,15
1989,0,15
1990,0,10
1991,0,27
1992,0,18
1993,0,31
1994,0,33
1995,0,27
1996,0,36
1997,0,27
1998,0,29
1999,0,30
2000,0,23
2001,0,29
2002,0,20
2003,0,28
2004,0,27
2005,0,32
2006,0,29
2007,0,35
2008,0,25
2009,0,22
2010,0,25
2011,0,20
2012,0,26
2013,0,22
2014,0,11
2015,0,13
2016,0,27
2017,0,11
2018,0,13
2019,0,14
