year,F,M
1880,0,34
1881,0,26
1882,0,46
1883,0,54
1884,0,47
1885,0,35
1886,0,61
1887,0,39
1888,0,50
1889,0,62
1890,0,61
1891,0,48
1892,0,68
1893,0,64
1894,0,72
1895,0,78
1896,0,66
1897,0,49
1898,0,49
1899,0,65
1900,0,81
1901,0,48
1902,0,79
1903,0,64
1904,0,75
1905,0,85
1906,0,87
1907,5,81
1908,0,107
1909,6,110
1910,0,140
1911,0,167
1912,10,332
1913,5,388
1914,6,521
1915,11,747
1916,11,744
1917,17,757
1918,8,931
1919,12,956
1920,13,1019
1921,21,1172
1922,18,1183
1923,19,1293
1924,25,1451
1925,18,1653
1926,26,1966
1927,33,2303
1928,29,2383
1929,25,2518
1930,34,2921
1931,40,3176
1932,37,3454
1933,22,3452
1934,24,3927
1935,21,3914
1936,27,3829
1937,25,3816
1938,17,3900
1939,21,3585
1940,18,3546
1941,15,3532
1942,19,3565
1943,15,3817
1944,19,3588
1945,15,3485
1946,20,4109
1947,22,4004
1948,10,3545
1949,14,3060
1950,16,2711
1951,16,2619
1952,11,2570
1953,19,2712
1954,18,2747
1955,11,2649
1956,11,2898
1957,17,3350
1958,16,3580
1959,18,3618
1960,19,3455
1961,16,3148
1962,11,2910
1963,15,2524
1964,9,2303
1965,14,1911
1966,11,1650
1967,14,1470
1968,20,1404
1969,16,1349
1970,15,1279
1971,13,1093
1972,14,977
1973,12,893
1974,11,798
1975,7,764
1976,9,720
1977,8,732
1978,6,587
1979,17,654
1980,8,600
1981,11,653
1982,0,552
1983,6,477
1984,0,473
1985,6,473
1986,0,467
1987,0,450
1988,8,453
1989,0,394
1990,0,332
1991,0,353
1992,5,293
1993,0,308
1994,0,231
1995,0,299
1996,0,233
1997,0,194
1998,0,207
1999,0,187
2000,0,193
2001,0,183
2002,0,155
2003,0,155
2004,0,140
2005,0,138
2006,0,169
2007,0,126
2008,0,133
2009,0,136
2010,0,111
2011,0,113
2012,0,95
2013,0,125
2014,0,112
2015,0,116
2016,0,105
2017,0,90
2018,0,114
2019,0,87
