year,Girls,Boys
1880,18,0
1881,24,0
1882,28,0
1883,30,0
1884,34,0
1885,43,0
1886,31,0
1887,41,0
1888,46,0
1889,44,0
1890,52,0
1891,47,0
1892,52,0
1893,36,0
1894,45,0
1895,44,0
1896,35,0
1897,46,0
1898,59,0
1899,43,0
1900,46,0
1901,45,0
1902,60,0
1903,37,0
1904,50,0
1905,51,0
1906,38,0
1907,44,0
1908,32,0
1909,40,0
1910,41,5
1911,47,0
1912,51,0
1913,49,0
1914,62,0
1915,79,0
1916,104,0
1917,107,0
1918,115,6
1919,102,8
1920,114,0
1921,135,9
1922,161,0
1923,181,7
1924,179,0
1925,212,6
1926,288,7
1927,376,10
1928,381,12
1929,363,0
1930,401,8
1931,412,10
1932,424,5
1933,411,6
1934,348,5
1935,287,0
1936,303,0
1937,286,6
1938,287,5
1939,259,0
1940,267,0
1941,297,0
1942,354,0
1943,397,0
1944,354,5
1945,289,0
1946,359,0
1947,389,5
1948,370,5
1949,344,0
1950,378,0
1951,418,9
1952,369,0
1953,404,0
1954,487,5
1955,418,0
1956,419,7
1957,343,6
1958,331,0
1959,343,6
1960,310,0
1961,291,0
1962,281,0
1963,243,7
1964,248,0
1965,197,0
1966,201,0
1967,173,0
1968,151,0
1969,153,0
1970,151,0
1971,117,0
1972,101,0
1973,93,0
1974,74,0
1975,60,0
1976,50,0
1977,54,0
1978,48,0
1979,44,0
1980,57,0
1981,31,0
1982,39,5
1983,32,0
1984,27,0
1985,31,0
1986,23,0
1987,25,0
1988,29,0
1989,30,0
1990,28,0
1991,28,0
1992,27,0
1993,13,0
1994,17,0
1995,13,0
1996,12,0
1997,18,0
1998,14,0
1999,17,0
2000,8,0
2001,16,0
2002,9,0
2003,13,0
2004,11,0
2005,6,0
2006,9,0
2007,10,0
2008,8,0
2009,7,0
2010,13,0
2011,0,0
2012,10,0
2013,10,0
2014,9,0
2015,0,0
2016,8,0
2017,7,0
2018,0,0
2019,0,0
