year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,7,0
1916,8,0
1917,9,0
1918,10,0
1919,7,0
1920,10,0
1921,17,0
1922,17,0
1923,17,0
1924,17,0
1925,13,0
1926,11,0
1927,25,0
1928,20,0
1929,31,0
1930,35,0
1931,33,0
1932,23,0
1933,27,0
1934,28,0
1935,33,0
1936,37,0
1937,29,0
1938,36,0
1939,19,0
1940,36,0
1941,22,0
1942,20,0
1943,12,0
1944,33,0
1945,14,0
1946,13,0
1947,30,0
1948,35,0
1949,28,0
1950,25,0
1951,16,0
1952,12,0
1953,16,0
1954,17,0
1955,20,0
1956,29,0
1957,16,0
1958,18,0
1959,29,0
1960,24,0
1961,29,0
1962,23,0
1963,23,0
1964,18,0
1965,22,0
1966,39,0
1967,34,0
1968,38,0
1969,57,0
1970,49,0
1971,79,0
1972,69,0
1973,58,0
1974,49,0
1975,37,0
1976,43,0
1977,57,0
1978,44,0
1979,42,0
1980,56,0
1981,41,0
1982,32,0
1983,34,0
1984,36,0
1985,54,0
1986,56,0
1987,67,0
1988,109,0
1989,85,0
1990,94,0
1991,108,0
1992,118,0
1993,124,0
1994,114,0
1995,105,0
1996,119,0
1997,132,0
1998,128,0
1999,146,0
2000,156,0
2001,147,0
2002,149,0
2003,144,0
2004,120,0
2005,123,0
2006,117,0
2007,119,0
2008,104,0
2009,92,0
2010,72,0
2011,57,0
2012,45,0
2013,47,0
2014,46,0
2015,36,0
2016,35,0
2017,23,0
2018,30,0
2019,25,0
