year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,8
1916,0,0
1917,0,0
1918,0,0
1919,7,8
1920,6,7
1921,6,9
1922,0,8
1923,0,5
1924,6,11
1925,5,5
1926,7,5
1927,0,0
1928,7,0
1929,7,7
1930,0,0
1931,0,8
1932,8,0
1933,0,10
1934,0,8
1935,5,7
1936,5,0
1937,5,7
1938,5,9
1939,7,11
1940,6,10
1941,5,14
1942,0,10
1943,0,8
1944,5,10
1945,17,32
1946,15,61
1947,30,56
1948,36,49
1949,35,58
1950,37,42
1951,35,44
1952,36,35
1953,56,62
1954,50,56
1955,50,68
1956,42,54
1957,63,65
1958,62,53
1959,80,53
1960,88,55
1961,61,66
1962,85,70
1963,54,67
1964,50,67
1965,35,58
1966,31,87
1967,25,86
1968,34,92
1969,35,136
1970,43,146
1971,40,187
1972,36,206
1973,99,293
1974,110,229
1975,69,223
1976,69,205
1977,83,224
1978,89,180
1979,79,219
1980,94,165
1981,79,165
1982,103,220
1983,125,216
1984,109,202
1985,76,225
1986,82,187
1987,97,251
1988,74,291
1989,63,334
1990,62,358
1991,72,364
1992,85,370
1993,93,362
1994,92,370
1995,91,408
1996,83,395
1997,81,392
1998,103,421
1999,97,420
2000,64,639
2001,75,603
2002,64,586
2003,60,560
2004,66,594
2005,47,624
2006,44,578
2007,43,542
2008,43,641
2009,30,524
2010,30,514
2011,21,489
2012,22,464
2013,25,485
2014,19,516
2015,23,509
2016,24,531
2017,12,526
2018,20,543
2019,14,557
