year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,9
1890,0,5
1891,0,7
1892,0,6
1893,0,5
1894,0,8
1895,0,7
1896,0,8
1897,0,15
1898,0,14
1899,0,12
1900,0,15
1901,0,10
1902,0,25
1903,0,16
1904,0,13
1905,0,21
1906,0,23
1907,0,38
1908,0,30
1909,0,25
1910,0,41
1911,0,52
1912,0,115
1913,0,139
1914,9,198
1915,11,264
1916,6,282
1917,5,327
1918,9,321
1919,0,315
1920,10,395
1921,14,464
1922,8,443
1923,5,458
1924,6,468
1925,0,501
1926,7,495
1927,8,570
1928,7,577
1929,7,559
1930,7,601
1931,10,668
1932,11,576
1933,10,611
1934,7,608
1935,6,629
1936,8,597
1937,7,576
1938,5,585
1939,0,569
1940,0,620
1941,6,578
1942,0,567
1943,0,521
1944,7,530
1945,0,456
1946,6,508
1947,5,620
1948,6,533
1949,0,594
1950,6,521
1951,7,519
1952,0,563
1953,0,487
1954,0,514
1955,5,544
1956,0,526
1957,8,500
1958,0,457
1959,7,446
1960,0,404
1961,0,382
1962,6,429
1963,0,365
1964,0,377
1965,0,312
1966,0,358
1967,0,280
1968,0,285
1969,0,273
1970,0,235
1971,0,213
1972,0,160
1973,0,148
1974,0,163
1975,0,124
1976,0,118
1977,0,105
1978,0,99
1979,0,98
1980,0,85
1981,0,87
1982,0,78
1983,0,65
1984,0,67
1985,0,60
1986,0,55
1987,0,52
1988,0,60
1989,0,61
1990,0,59
1991,0,44
1992,0,57
1993,0,44
1994,0,40
1995,0,43
1996,0,29
1997,0,28
1998,0,35
1999,0,33
2000,0,36
2001,0,25
2002,0,22
2003,0,22
2004,0,25
2005,0,34
2006,0,32
2007,0,29
2008,0,27
2009,0,21
2010,0,20
2011,0,10
2012,0,11
2013,0,17
2014,0,8
2015,0,12
2016,0,10
2017,0,18
2018,0,12
2019,0,11
