year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,5
1886,0,0
1887,0,5
1888,0,0
1889,0,0
1890,0,0
1891,0,5
1892,0,0
1893,0,8
1894,0,0
1895,0,0
1896,0,5
1897,0,5
1898,0,7
1899,0,5
1900,0,6
1901,0,0
1902,0,6
1903,0,16
1904,0,12
1905,0,5
1906,0,11
1907,0,16
1908,0,11
1909,0,21
1910,0,26
1911,0,27
1912,0,74
1913,0,79
1914,6,114
1915,6,196
1916,8,215
1917,10,209
1918,7,303
1919,0,311
1920,6,455
1921,9,546
1922,0,625
1923,12,725
1924,20,815
1925,19,896
1926,15,963
1927,26,1083
1928,16,1211
1929,27,1246
1930,22,1521
1931,24,1727
1932,17,1710
1933,21,1764
1934,21,1837
1935,21,1830
1936,21,1725
1937,31,1630
1938,31,1615
1939,26,1495
1940,25,1387
1941,27,1534
1942,27,1620
1943,23,1622
1944,18,1561
1945,23,1583
1946,21,1712
1947,18,2092
1948,10,1963
1949,11,1996
1950,19,1963
1951,12,2146
1952,8,2231
1953,10,2340
1954,14,2324
1955,11,2344
1956,16,2595
1957,18,2615
1958,8,2615
1959,13,2962
1960,15,2954
1961,14,2732
1962,14,2604
1963,10,2597
1964,17,2526
1965,11,2275
1966,14,2116
1967,17,2110
1968,10,1962
1969,12,1887
1970,19,1772
1971,15,1617
1972,14,1677
1973,11,1334
1974,8,1201
1975,12,1042
1976,0,1053
1977,8,1047
1978,0,837
1979,8,829
1980,6,720
1981,0,613
1982,0,594
1983,0,530
1984,0,552
1985,7,566
1986,5,453
1987,8,428
1988,0,390
1989,6,401
1990,0,357
1991,0,333
1992,0,325
1993,0,269
1994,0,259
1995,0,252
1996,0,236
1997,0,203
1998,0,206
1999,0,175
2000,0,185
2001,0,175
2002,0,178
2003,0,154
2004,0,160
2005,0,147
2006,0,150
2007,0,148
2008,0,158
2009,0,121
2010,0,128
2011,0,129
2012,0,128
2013,0,108
2014,0,100
2015,0,113
2016,0,115
2017,0,102
2018,0,81
2019,0,70
