year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,8
1915,0,8
1916,0,5
1917,0,6
1918,0,0
1919,0,6
1920,0,5
1921,0,0
1922,0,0
1923,0,0
1924,0,5
1925,0,8
1926,0,10
1927,0,5
1928,0,7
1929,0,11
1930,0,6
1931,0,9
1932,0,9
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,10
1939,0,0
1940,0,0
1941,0,5
1942,0,6
1943,0,0
1944,0,6
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,5
1952,0,0
1953,0,0
1954,0,0
1955,0,6
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,7
1961,0,0
1962,0,0
1963,0,0
1964,0,6
1965,0,0
1966,0,6
1967,0,5
1968,0,5
1969,0,5
1970,0,0
1971,0,6
1972,0,8
1973,0,13
1974,0,10
1975,0,12
1976,0,15
1977,0,8
1978,0,21
1979,0,11
1980,0,18
1981,0,9
1982,0,11
1983,0,18
1984,0,17
1985,0,19
1986,0,20
1987,0,17
1988,0,10
1989,0,22
1990,0,15
1991,0,20
1992,0,18
1993,0,18
1994,0,12
1995,0,16
1996,0,17
1997,0,18
1998,0,20
1999,0,12
2000,0,11
2001,0,20
2002,0,6
2003,0,9
2004,0,6
2005,0,9
2006,0,13
2007,0,18
2008,0,12
2009,0,15
2010,0,15
2011,0,8
2012,0,14
2013,0,7
2014,0,17
2015,0,7
2016,0,6
2017,0,7
2018,0,5
2019,0,7
