year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,5
1917,0,7
1918,0,10
1919,0,6
1920,0,8
1921,0,6
1922,0,11
1923,0,6
1924,0,9
1925,0,0
1926,0,6
1927,0,7
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,7
1936,0,0
1937,0,0
1938,0,10
1939,0,0
1940,0,14
1941,0,7
1942,0,11
1943,0,12
1944,0,16
1945,0,26
1946,0,26
1947,0,31
1948,0,22
1949,0,31
1950,0,21
1951,0,24
1952,0,27
1953,0,22
1954,0,31
1955,0,42
1956,0,27
1957,0,32
1958,0,19
1959,0,39
1960,0,54
1961,0,46
1962,0,52
1963,0,44
1964,0,40
1965,0,52
1966,0,50
1967,0,51
1968,16,448
1969,15,758
1970,18,1285
1971,22,1471
1972,21,1563
1973,30,1616
1974,18,2197
1975,26,2681
1976,32,3214
1977,37,3476
1978,35,4178
1979,57,4897
1980,74,8418
1981,102,9355
1982,80,9552
1983,95,9681
1984,88,10398
1985,81,10442
1986,110,10316
1987,78,10101
1988,85,9337
1989,46,9718
1990,31,8457
1991,24,7383
1992,22,6799
1993,19,6309
1994,15,6459
1995,16,5921
1996,21,4873
1997,11,4277
1998,0,3445
1999,8,2843
2000,8,2620
2001,0,2424
2002,5,1982
2003,5,1769
2004,17,1554
2005,7,1476
2006,0,1335
2007,0,1259
2008,0,1102
2009,6,1007
2010,0,867
2011,0,802
2012,0,798
2013,0,671
2014,0,696
2015,0,577
2016,0,552
2017,0,534
2018,0,538
2019,0,481
