year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,5
1903,5,0
1904,0,0
1905,0,0
1906,0,0
1907,7,6
1908,0,0
1909,0,7
1910,5,5
1911,6,0
1912,0,9
1913,0,10
1914,7,8
1915,8,18
1916,9,17
1917,8,15
1918,9,13
1919,5,14
1920,10,20
1921,7,12
1922,10,30
1923,16,16
1924,8,24
1925,11,14
1926,12,26
1927,11,22
1928,8,16
1929,5,18
1930,7,17
1931,10,10
1932,8,21
1933,13,10
1934,8,9
1935,12,14
1936,7,12
1937,5,10
1938,10,14
1939,10,10
1940,7,19
1941,7,17
1942,0,13
1943,8,19
1944,10,25
1945,0,16
1946,5,31
1947,11,30
1948,7,34
1949,6,23
1950,8,30
1951,0,26
1952,0,26
1953,0,16
1954,0,15
1955,0,19
1956,0,26
1957,0,20
1958,0,21
1959,0,19
1960,0,19
1961,0,21
1962,0,16
1963,0,13
1964,0,15
1965,0,10
1966,0,18
1967,0,14
1968,0,12
1969,0,16
1970,0,11
1971,0,14
1972,0,12
1973,0,9
1974,0,6
1975,0,13
1976,0,5
1977,0,11
1978,0,5
1979,0,8
1980,0,6
1981,0,5
1982,0,0
1983,0,0
1984,0,5
1985,0,5
1986,0,0
1987,0,0
1988,0,0
1989,0,7
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,6
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
