year,F,M
1880,12,129
1881,11,109
1882,16,169
1883,22,125
1884,25,179
1885,25,141
1886,30,197
1887,22,129
1888,27,193
1889,30,155
1890,46,197
1891,35,179
1892,39,218
1893,26,220
1894,49,203
1895,50,228
1896,50,262
1897,52,263
1898,57,256
1899,49,258
1900,93,425
1901,55,296
1902,68,353
1903,69,314
1904,70,315
1905,85,346
1906,85,377
1907,77,394
1908,94,413
1909,104,462
1910,126,595
1911,120,523
1912,161,718
1913,183,878
1914,210,1010
1915,280,1124
1916,254,1311
1917,254,1265
1918,315,1423
1919,312,1660
1920,308,1681
1921,331,1511
1922,378,1589
1923,339,1598
1924,377,1596
1925,375,1731
1926,350,1676
1927,369,1860
1928,353,1806
1929,341,1876
1930,356,1971
1931,303,1957
1932,302,2113
1933,274,2015
1934,312,2166
1935,299,2280
1936,275,2349
1937,280,2349
1938,277,2615
1939,260,2509
1940,288,2579
1941,269,2849
1942,282,3018
1943,324,3278
1944,273,3315
1945,242,3222
1946,236,3748
1947,258,4455
1948,257,4235
1949,216,4104
1950,210,3759
1951,205,3747
1952,171,3647
1953,172,3413
1954,162,3769
1955,156,3782
1956,146,3998
1957,110,4107
1958,138,4130
1959,110,4234
1960,103,4197
1961,92,4079
1962,86,3685
1963,56,3353
1964,70,3324
1965,66,2868
1966,59,2535
1967,49,2279
1968,52,2166
1969,48,2094
1970,43,2153
1971,51,2020
1972,40,1743
1973,36,1586
1974,23,1456
1975,23,1391
1976,29,1399
1977,32,1380
1978,24,1382
1979,28,1364
1980,20,1390
1981,24,1316
1982,28,1293
1983,19,1170
1984,15,1166
1985,13,1150
1986,21,1086
1987,14,1095
1988,22,1127
1989,14,1210
1990,16,1248
1991,6,1178
1992,11,1091
1993,13,1048
1994,8,946
1995,0,910
1996,11,830
1997,0,832
1998,6,796
1999,0,783
2000,7,782
2001,0,683
2002,0,680
2003,0,672
2004,6,774
2005,7,708
2006,7,763
2007,0,705
2008,7,655
2009,0,675
2010,0,503
2011,0,538
2012,0,478
2013,0,422
2014,7,464
2015,6,382
2016,0,405
2017,5,355
2018,0,328
2019,10,318
