year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,7
1918,0,0
1919,0,0
1920,0,5
1921,0,6
1922,0,0
1923,0,0
1924,0,9
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,5
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,7
1943,5,8
1944,0,5
1945,5,10
1946,12,0
1947,10,7
1948,0,0
1949,0,7
1950,6,0
1951,7,0
1952,5,0
1953,0,0
1954,14,0
1955,20,6
1956,22,7
1957,21,9
1958,23,8
1959,27,7
1960,25,9
1961,47,10
1962,24,10
1963,29,13
1964,44,9
1965,38,9
1966,55,12
1967,41,7
1968,75,11
1969,72,16
1970,88,8
1971,87,6
1972,57,13
1973,54,11
1974,69,10
1975,63,14
1976,76,11
1977,67,12
1978,59,13
1979,55,23
1980,60,14
1981,73,16
1982,69,24
1983,56,16
1984,52,28
1985,105,30
1986,164,19
1987,200,22
1988,280,23
1989,303,28
1990,305,32
1991,289,36
1992,310,42
1993,318,39
1994,301,35
1995,325,48
1996,354,43
1997,351,45
1998,435,52
1999,494,62
2000,505,68
2001,739,76
2002,823,93
2003,904,112
2004,941,140
2005,1000,134
2006,1029,170
2007,1365,186
2008,1482,233
2009,1568,231
2010,1724,222
2011,1730,262
2012,1936,349
2013,2042,383
2014,2134,450
2015,2065,573
2016,2087,568
2017,2092,589
2018,1909,597
2019,1943,630
