year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,7
1912,0,6
1913,0,0
1914,0,13
1915,0,11
1916,0,20
1917,0,16
1918,0,18
1919,0,18
1920,0,23
1921,0,27
1922,0,17
1923,0,26
1924,0,18
1925,0,22
1926,0,23
1927,0,28
1928,0,27
1929,0,30
1930,0,14
1931,0,21
1932,0,18
1933,0,26
1934,0,18
1935,0,22
1936,0,22
1937,0,26
1938,0,26
1939,0,23
1940,0,23
1941,0,32
1942,0,25
1943,0,28
1944,0,30
1945,0,34
1946,0,41
1947,0,39
1948,0,44
1949,0,35
1950,0,49
1951,0,61
1952,0,64
1953,0,54
1954,0,67
1955,0,78
1956,0,86
1957,0,90
1958,0,86
1959,0,112
1960,0,100
1961,0,104
1962,0,113
1963,0,121
1964,0,111
1965,0,115
1966,0,135
1967,0,109
1968,0,134
1969,0,131
1970,0,151
1971,0,127
1972,0,131
1973,0,129
1974,0,120
1975,0,111
1976,0,144
1977,0,104
1978,0,115
1979,0,100
1980,0,125
1981,0,115
1982,0,106
1983,0,94
1984,0,96
1985,0,97
1986,0,102
1987,0,96
1988,0,102
1989,0,111
1990,0,114
1991,0,126
1992,0,115
1993,0,91
1994,0,89
1995,0,86
1996,0,76
1997,0,52
1998,0,73
1999,0,52
2000,0,67
2001,0,67
2002,0,58
2003,0,47
2004,0,52
2005,0,45
2006,0,45
2007,0,39
2008,0,42
2009,0,47
2010,0,30
2011,0,35
2012,0,53
2013,0,22
2014,0,15
2015,0,24
2016,0,15
2017,0,12
2018,0,8
2019,0,14
