year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,5,0
1894,7,0
1895,8,0
1896,6,0
1897,8,0
1898,6,0
1899,7,0
1900,5,0
1901,0,0
1902,9,0
1903,7,0
1904,7,0
1905,9,0
1906,10,0
1907,12,0
1908,7,0
1909,15,0
1910,8,0
1911,16,0
1912,18,0
1913,35,0
1914,36,0
1915,60,0
1916,48,0
1917,43,0
1918,45,0
1919,42,0
1920,32,0
1921,19,0
1922,22,0
1923,29,0
1924,16,0
1925,29,0
1926,28,0
1927,25,0
1928,24,0
1929,16,0
1930,15,0
1931,12,0
1932,23,0
1933,18,0
1934,9,0
1935,10,0
1936,10,0
1937,16,0
1938,13,0
1939,9,0
1940,12,0
1941,14,0
1942,18,0
1943,9,0
1944,8,0
1945,9,0
1946,10,0
1947,11,0
1948,9,0
1949,10,0
1950,7,0
1951,10,0
1952,8,0
1953,12,0
1954,11,0
1955,9,0
1956,8,0
1957,9,0
1958,5,0
1959,7,0
1960,13,0
1961,11,0
1962,8,0
1963,7,0
1964,10,0
1965,9,0
1966,7,0
1967,5,0
1968,8,0
1969,8,0
1970,8,0
1971,5,0
1972,9,0
1973,11,0
1974,0,0
1975,5,0
1976,0,0
1977,5,0
1978,0,0
1979,5,0
1980,0,0
1981,0,0
1982,5,0
1983,5,0
1984,6,0
1985,8,0
1986,0,0
1987,0,0
1988,0,0
1989,6,0
1990,5,0
1991,6,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,5,0
2000,5,0
2001,8,0
2002,5,0
2003,0,0
2004,7,0
2005,5,0
2006,5,0
2007,7,0
2008,9,0
2009,7,0
2010,5,0
2011,0,0
2012,0,0
2013,0,0
2014,10,0
2015,6,0
2016,5,0
2017,12,0
2018,22,0
2019,16,0
