year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,6,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,10,0
1942,17,0
1943,12,0
1944,16,0
1945,20,0
1946,27,0
1947,20,0
1948,20,0
1949,21,0
1950,17,0
1951,26,0
1952,11,0
1953,15,0
1954,18,0
1955,26,0
1956,11,0
1957,27,0
1958,24,0
1959,30,0
1960,138,0
1961,103,0
1962,78,0
1963,69,0
1964,79,0
1965,60,0
1966,117,0
1967,85,0
1968,57,0
1969,92,0
1970,78,0
1971,81,0
1972,84,0
1973,70,0
1974,109,0
1975,103,0
1976,87,0
1977,105,0
1978,119,0
1979,116,0
1980,122,0
1981,118,0
1982,126,0
1983,137,0
1984,130,0
1985,149,0
1986,142,0
1987,123,0
1988,148,0
1989,136,0
1990,135,0
1991,131,0
1992,146,0
1993,155,0
1994,149,0
1995,168,0
1996,159,0
1997,133,0
1998,153,0
1999,165,0
2000,161,0
2001,172,0
2002,151,0
2003,186,0
2004,214,0
2005,179,0
2006,219,0
2007,183,0
2008,163,0
2009,134,0
2010,164,0
2011,135,0
2012,181,0
2013,135,0
2014,172,0
2015,147,0
2016,148,0
2017,127,0
2018,135,0
2019,120,0
