year,Girls,Boys
1880,0,13
1881,0,9
1882,0,9
1883,0,6
1884,0,6
1885,0,8
1886,0,10
1887,0,10
1888,0,6
1889,0,8
1890,0,9
1891,0,6
1892,0,12
1893,0,9
1894,0,20
1895,0,14
1896,0,11
1897,0,11
1898,0,9
1899,0,7
1900,0,17
1901,0,12
1902,0,8
1903,0,12
1904,0,7
1905,0,14
1906,0,18
1907,0,11
1908,0,18
1909,0,22
1910,0,16
1911,0,22
1912,0,55
1913,0,54
1914,0,66
1915,0,84
1916,0,81
1917,0,94
1918,0,94
1919,0,89
1920,0,104
1921,0,102
1922,0,87
1923,0,85
1924,0,120
1925,0,95
1926,0,115
1927,0,109
1928,0,92
1929,0,95
1930,0,82
1931,0,59
1932,0,74
1933,0,74
1934,0,60
1935,0,72
1936,0,68
1937,0,65
1938,0,60
1939,0,61
1940,0,73
1941,0,66
1942,0,72
1943,0,41
1944,0,67
1945,0,69
1946,0,52
1947,0,75
1948,0,60
1949,0,64
1950,0,56
1951,0,52
1952,0,57
1953,0,55
1954,0,56
1955,0,62
1956,0,58
1957,0,54
1958,0,58
1959,0,51
1960,0,42
1961,0,43
1962,0,32
1963,0,47
1964,0,40
1965,0,52
1966,0,41
1967,0,35
1968,0,37
1969,0,50
1970,0,52
1971,0,50
1972,0,33
1973,0,37
1974,0,37
1975,0,37
1976,0,38
1977,0,46
1978,0,33
1979,0,33
1980,0,23
1981,0,14
1982,0,34
1983,0,32
1984,0,16
1985,0,18
1986,0,15
1987,0,14
1988,0,14
1989,0,20
1990,0,21
1991,0,20
1992,0,13
1993,0,18
1994,0,12
1995,0,15
1996,0,10
1997,0,12
1998,0,9
1999,0,17
2000,0,7
2001,0,13
2002,0,12
2003,0,8
2004,0,10
2005,0,8
2006,0,11
2007,0,11
2008,0,0
2009,0,11
2010,0,6
2011,0,8
2012,0,6
2013,0,7
2014,0,9
2015,0,5
2016,0,6
2017,0,8
2018,0,9
2019,0,14
