year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,5
1926,0,0
1927,0,0
1928,0,0
1929,0,5
1930,0,9
1931,0,0
1932,0,6
1933,0,8
1934,0,8
1935,0,0
1936,0,7
1937,0,0
1938,0,6
1939,0,0
1940,0,0
1941,0,0
1942,0,6
1943,0,5
1944,0,8
1945,0,9
1946,0,0
1947,0,8
1948,0,8
1949,0,8
1950,0,12
1951,0,12
1952,0,9
1953,0,6
1954,0,9
1955,0,15
1956,0,19
1957,0,9
1958,0,9
1959,0,14
1960,0,21
1961,0,12
1962,0,10
1963,0,11
1964,0,20
1965,0,10
1966,0,12
1967,0,13
1968,0,15
1969,0,20
1970,0,18
1971,0,14
1972,0,18
1973,0,19
1974,0,15
1975,0,14
1976,0,19
1977,0,12
1978,0,22
1979,0,16
1980,0,17
1981,0,27
1982,0,20
1983,0,19
1984,0,21
1985,0,20
1986,0,18
1987,0,29
1988,0,14
1989,0,31
1990,0,33
1991,0,30
1992,0,36
1993,0,33
1994,0,37
1995,0,38
1996,0,27
1997,0,29
1998,0,28
1999,0,29
2000,0,39
2001,0,44
2002,0,37
2003,0,38
2004,0,45
2005,0,47
2006,0,41
2007,0,57
2008,0,52
2009,0,27
2010,0,38
2011,0,41
2012,0,23
2013,0,42
2014,0,37
2015,0,40
2016,0,43
2017,0,28
2018,0,43
2019,0,36
