year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,6,0
1889,7,0
1890,5,0
1891,0,0
1892,0,0
1893,0,0
1894,5,0
1895,9,0
1896,0,0
1897,0,0
1898,8,0
1899,5,0
1900,0,0
1901,0,0
1902,6,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,9,0
1910,6,0
1911,5,0
1912,7,0
1913,6,0
1914,21,0
1915,18,0
1916,14,0
1917,13,0
1918,18,0
1919,13,0
1920,15,0
1921,17,0
1922,8,0
1923,16,0
1924,14,0
1925,18,0
1926,18,0
1927,11,0
1928,12,0
1929,11,0
1930,10,0
1931,7,0
1932,11,0
1933,5,0
1934,9,0
1935,15,0
1936,9,0
1937,13,0
1938,11,0
1939,9,0
1940,11,0
1941,10,0
1942,11,0
1943,15,0
1944,0,0
1945,7,0
1946,11,0
1947,10,0
1948,11,0
1949,21,0
1950,11,0
1951,14,0
1952,20,0
1953,13,0
1954,11,0
1955,11,0
1956,8,0
1957,11,0
1958,9,0
1959,10,0
1960,15,0
1961,10,0
1962,13,0
1963,9,0
1964,20,0
1965,12,0
1966,10,0
1967,12,0
1968,15,0
1969,7,0
1970,10,0
1971,14,0
1972,9,0
1973,13,0
1974,11,0
1975,15,0
1976,14,0
1977,10,0
1978,10,0
1979,9,0
1980,15,0
1981,20,0
1982,11,0
1983,9,0
1984,10,0
1985,7,0
1986,9,0
1987,10,0
1988,14,0
1989,14,0
1990,9,0
1991,19,0
1992,16,0
1993,19,0
1994,23,0
1995,27,0
1996,26,0
1997,17,0
1998,22,0
1999,47,0
2000,23,0
2001,33,0
2002,34,0
2003,25,0
2004,44,0
2005,35,0
2006,52,0
2007,50,0
2008,45,0
2009,40,0
2010,42,0
2011,46,0
2012,67,0
2013,75,0
2014,57,0
2015,57,0
2016,64,0
2017,65,0
2018,49,0
2019,60,0
