year,Boys,Girls
1880,28,0
1881,41,0
1882,47,0
1883,42,0
1884,59,0
1885,76,0
1886,82,0
1887,73,0
1888,97,0
1889,98,0
1890,108,0
1891,118,0
1892,112,0
1893,129,0
1894,127,0
1895,137,0
1896,160,6
1897,156,0
1898,172,0
1899,136,0
1900,182,0
1901,189,0
1902,199,0
1903,162,0
1904,160,0
1905,171,5
1906,193,0
1907,228,0
1908,208,0
1909,248,0
1910,273,0
1911,252,6
1912,375,11
1913,388,13
1914,484,10
1915,575,12
1916,622,23
1917,580,9
1918,659,15
1919,595,15
1920,600,20
1921,610,18
1922,579,13
1923,494,18
1924,522,14
1925,487,17
1926,449,22
1927,465,19
1928,424,18
1929,360,12
1930,361,9
1931,352,8
1932,299,8
1933,297,9
1934,285,10
1935,267,9
1936,258,10
1937,225,16
1938,244,11
1939,203,10
1940,204,8
1941,193,13
1942,226,8
1943,208,0
1944,162,13
1945,179,5
1946,162,0
1947,167,5
1948,159,7
1949,150,8
1950,143,6
1951,125,6
1952,130,0
1953,129,0
1954,114,0
1955,104,0
1956,103,0
1957,94,8
1958,110,0
1959,87,0
1960,111,0
1961,73,0
1962,74,0
1963,76,0
1964,62,0
1965,67,0
1966,47,0
1967,49,0
1968,50,0
1969,47,0
1970,34,0
1971,44,0
1972,41,0
1973,33,0
1974,35,0
1975,29,0
1976,33,0
1977,23,0
1978,31,0
1979,26,0
1980,22,0
1981,20,0
1982,23,0
1983,19,0
1984,27,0
1985,22,0
1986,13,0
1987,10,0
1988,19,0
1989,21,0
1990,14,0
1991,12,0
1992,17,0
1993,17,0
1994,17,0
1995,19,0
1996,20,0
1997,13,0
1998,18,0
1999,36,0
2000,38,0
2001,47,0
2002,39,0
2003,50,0
2004,37,0
2005,47,0
2006,37,0
2007,38,0
2008,36,0
2009,36,0
2010,31,0
2011,33,0
2012,35,0
2013,23,0
2014,27,0
2015,31,0
2016,27,0
2017,32,0
2018,32,0
2019,27,0
