year,Girls,Boys
1880,0,15
1881,0,9
1882,0,19
1883,0,16
1884,0,12
1885,0,14
1886,0,12
1887,0,8
1888,0,17
1889,0,13
1890,0,12
1891,0,15
1892,0,14
1893,0,16
1894,0,12
1895,0,26
1896,0,23
1897,0,21
1898,0,32
1899,0,20
1900,0,40
1901,0,29
1902,0,27
1903,0,27
1904,0,27
1905,0,27
1906,6,50
1907,0,58
1908,0,51
1909,7,80
1910,5,86
1911,8,104
1912,13,169
1913,16,197
1914,7,247
1915,12,286
1916,19,363
1917,18,366
1918,11,334
1919,13,324
1920,12,397
1921,10,370
1922,13,317
1923,9,338
1924,9,313
1925,17,273
1926,10,243
1927,0,235
1928,6,235
1929,10,170
1930,0,183
1931,0,137
1932,0,158
1933,5,150
1934,0,138
1935,0,148
1936,6,144
1937,5,128
1938,0,137
1939,0,113
1940,0,103
1941,0,115
1942,0,125
1943,0,121
1944,0,116
1945,0,78
1946,0,99
1947,0,100
1948,0,94
1949,0,71
1950,0,76
1951,0,86
1952,0,65
1953,0,70
1954,0,81
1955,0,72
1956,0,64
1957,0,64
1958,0,53
1959,0,60
1960,0,48
1961,0,51
1962,0,42
1963,0,38
1964,0,46
1965,0,28
1966,0,30
1967,0,31
1968,0,27
1969,0,35
1970,0,24
1971,0,19
1972,0,28
1973,0,19
1974,0,18
1975,0,20
1976,0,27
1977,0,17
1978,0,15
1979,0,15
1980,0,9
1981,0,16
1982,0,13
1983,0,18
1984,0,15
1985,0,12
1986,0,14
1987,0,14
1988,0,14
1989,0,6
1990,0,10
1991,0,12
1992,0,9
1993,0,8
1994,0,18
1995,0,0
1996,0,7
1997,0,8
1998,0,7
1999,0,6
2000,0,0
2001,0,11
2002,0,0
2003,0,7
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,5
2010,0,0
2011,0,0
2012,0,0
2013,0,5
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
