year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,5,0
1890,0,0
1891,0,0
1892,7,0
1893,5,0
1894,0,0
1895,5,0
1896,0,0
1897,8,0
1898,0,0
1899,8,0
1900,14,0
1901,9,0
1902,21,0
1903,16,0
1904,20,0
1905,24,0
1906,29,0
1907,34,0
1908,32,0
1909,33,0
1910,34,0
1911,45,0
1912,59,0
1913,71,0
1914,95,0
1915,113,0
1916,145,0
1917,149,0
1918,175,0
1919,195,0
1920,220,0
1921,198,0
1922,223,0
1923,248,0
1924,272,5
1925,265,0
1926,259,0
1927,249,0
1928,241,0
1929,215,0
1930,242,0
1931,204,0
1932,225,0
1933,232,0
1934,219,0
1935,205,0
1936,177,0
1937,188,0
1938,173,0
1939,183,0
1940,157,0
1941,180,0
1942,206,0
1943,202,0
1944,168,0
1945,173,0
1946,150,0
1947,160,0
1948,147,0
1949,134,0
1950,136,0
1951,119,0
1952,114,0
1953,115,0
1954,100,0
1955,56,0
1956,90,0
1957,77,0
1958,78,0
1959,57,0
1960,49,0
1961,46,0
1962,42,0
1963,32,0
1964,29,0
1965,29,0
1966,13,0
1967,30,0
1968,14,0
1969,11,0
1970,17,0
1971,5,0
1972,9,0
1973,12,0
1974,11,0
1975,11,0
1976,5,0
1977,9,0
1978,7,0
1979,7,0
1980,9,0
1981,11,0
1982,6,0
1983,9,0
1984,0,0
1985,10,0
1986,7,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,7,0
1992,0,0
1993,7,0
1994,0,0
1995,7,0
1996,5,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,5,0
2003,0,0
2004,5,0
2005,11,0
2006,10,0
2007,8,0
2008,13,0
2009,20,0
2010,34,0
2011,25,0
2012,49,0
2013,71,0
2014,73,0
2015,116,0
2016,110,0
2017,137,0
2018,141,0
2019,191,0
