year,Girls,Boys
1880,0,8
1881,0,0
1882,0,10
1883,0,9
1884,0,18
1885,0,7
1886,0,6
1887,0,6
1888,0,6
1889,0,0
1890,0,5
1891,0,5
1892,0,0
1893,0,0
1894,0,11
1895,0,8
1896,0,9
1897,0,5
1898,0,7
1899,0,0
1900,0,0
1901,0,5
1902,0,7
1903,0,6
1904,0,0
1905,0,0
1906,0,0
1907,0,9
1908,0,5
1909,0,0
1910,0,0
1911,0,5
1912,0,11
1913,0,6
1914,0,10
1915,0,9
1916,0,14
1917,0,22
1918,0,15
1919,0,16
1920,0,9
1921,0,13
1922,0,21
1923,0,11
1924,0,13
1925,0,13
1926,0,16
1927,0,14
1928,0,5
1929,0,15
1930,0,9
1931,0,7
1932,0,5
1933,0,11
1934,0,13
1935,0,5
1936,0,7
1937,0,10
1938,0,7
1939,0,11
1940,0,9
1941,0,11
1942,0,6
1943,0,6
1944,0,0
1945,0,8
1946,0,5
1947,0,8
1948,0,0
1949,0,5
1950,0,5
1951,0,9
1952,0,0
1953,0,12
1954,0,0
1955,0,7
1956,0,0
1957,0,0
1958,0,8
1959,0,5
1960,0,9
1961,0,5
1962,0,9
1963,0,11
1964,0,0
1965,0,8
1966,0,0
1967,0,8
1968,0,6
1969,0,10
1970,0,6
1971,0,6
1972,0,8
1973,0,6
1974,0,13
1975,0,10
1976,0,0
1977,0,7
1978,0,11
1979,0,6
1980,0,5
1981,0,6
1982,0,7
1983,0,6
1984,0,0
1985,0,11
1986,0,0
1987,0,6
1988,0,5
1989,0,5
1990,0,6
1991,0,8
1992,0,5
1993,0,6
1994,0,0
1995,0,8
1996,0,0
1997,0,7
1998,0,6
1999,0,11
2000,0,8
2001,0,6
2002,0,7
2003,0,9
2004,0,10
2005,0,9
2006,0,11
2007,0,0
2008,0,0
2009,0,6
2010,0,0
2011,0,10
2012,0,0
2013,0,6
2014,0,5
2015,0,9
2016,0,0
2017,0,0
2018,0,11
2019,0,0
