year,F,M
1880,6,6
1881,0,0
1882,0,5
1883,7,0
1884,12,5
1885,6,0
1886,7,0
1887,8,0
1888,12,7
1889,12,0
1890,6,0
1891,12,0
1892,17,0
1893,21,5
1894,9,0
1895,7,0
1896,17,0
1897,18,0
1898,18,0
1899,9,0
1900,15,0
1901,13,0
1902,21,0
1903,13,0
1904,29,0
1905,15,0
1906,16,5
1907,20,0
1908,11,0
1909,16,0
1910,23,5
1911,20,0
1912,36,0
1913,17,8
1914,24,11
1915,32,6
1916,42,14
1917,39,15
1918,36,9
1919,37,13
1920,33,11
1921,26,0
1922,28,14
1923,26,11
1924,23,16
1925,39,12
1926,31,7
1927,20,11
1928,26,10
1929,18,11
1930,26,0
1931,14,6
1932,22,7
1933,8,8
1934,11,9
1935,11,11
1936,15,12
1937,14,12
1938,11,5
1939,12,8
1940,12,7
1941,8,0
1942,9,7
1943,12,11
1944,8,8
1945,0,7
1946,15,9
1947,14,16
1948,11,19
1949,9,19
1950,9,14
1951,12,23
1952,7,24
1953,16,12
1954,12,18
1955,7,14
1956,8,13
1957,0,32
1958,0,46
1959,9,32
1960,8,37
1961,5,38
1962,5,35
1963,5,36
1964,0,41
1965,7,46
1966,0,36
1967,0,26
1968,5,36
1969,0,49
1970,0,81
1971,0,62
1972,0,66
1973,6,61
1974,0,48
1975,0,45
1976,6,37
1977,0,47
1978,5,37
1979,0,26
1980,0,28
1981,5,29
1982,6,41
1983,0,33
1984,5,30
1985,0,49
1986,0,44
1987,0,30
1988,0,25
1989,0,23
1990,0,22
1991,6,16
1992,6,11
1993,5,13
1994,0,8
1995,0,11
1996,0,0
1997,0,7
1998,0,0
1999,0,6
2000,0,6
2001,0,5
2002,5,7
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,5,0
2011,5,0
2012,5,0
2013,6,0
2014,7,0
2015,6,0
2016,8,0
2017,6,0
2018,8,0
2019,5,0
