year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,6,0
1897,6,0
1898,0,0
1899,5,0
1900,0,0
1901,0,0
1902,0,0
1903,5,0
1904,5,0
1905,0,0
1906,8,0
1907,0,0
1908,0,0
1909,7,0
1910,5,0
1911,12,0
1912,5,0
1913,9,0
1914,20,0
1915,19,0
1916,26,0
1917,28,0
1918,41,0
1919,33,0
1920,24,0
1921,53,0
1922,47,0
1923,49,0
1924,64,0
1925,84,0
1926,92,0
1927,88,0
1928,75,0
1929,95,0
1930,97,0
1931,76,0
1932,71,0
1933,92,0
1934,60,0
1935,71,0
1936,63,0
1937,77,0
1938,81,0
1939,82,0
1940,75,0
1941,64,0
1942,60,0
1943,66,0
1944,71,0
1945,73,0
1946,76,0
1947,106,0
1948,71,0
1949,82,0
1950,88,0
1951,75,0
1952,71,0
1953,84,0
1954,86,0
1955,76,0
1956,73,0
1957,74,0
1958,72,0
1959,70,0
1960,76,0
1961,66,0
1962,58,0
1963,73,0
1964,53,0
1965,65,0
1966,53,0
1967,59,0
1968,46,0
1969,65,0
1970,48,0
1971,62,0
1972,72,0
1973,60,0
1974,60,0
1975,63,0
1976,46,0
1977,57,0
1978,44,0
1979,50,0
1980,57,0
1981,46,0
1982,58,0
1983,39,0
1984,42,0
1985,38,0
1986,31,0
1987,35,0
1988,39,0
1989,40,0
1990,29,0
1991,41,0
1992,30,0
1993,36,0
1994,22,0
1995,29,0
1996,22,0
1997,27,0
1998,18,0
1999,14,0
2000,20,0
2001,15,0
2002,15,0
2003,20,0
2004,8,0
2005,15,0
2006,14,0
2007,15,0
2008,18,0
2009,7,0
2010,7,0
2011,5,0
2012,8,0
2013,6,0
2014,13,0
2015,6,0
2016,10,0
2017,6,0
2018,6,0
2019,6,0
