year,Girls,Boys
1880,0,0
1881,6,0
1882,10,0
1883,9,0
1884,13,0
1885,11,0
1886,16,0
1887,11,0
1888,21,5
1889,18,0
1890,25,6
1891,20,6
1892,35,0
1893,36,0
1894,37,0
1895,41,0
1896,43,0
1897,51,6
1898,55,6
1899,44,6
1900,72,7
1901,50,0
1902,43,0
1903,44,6
1904,52,0
1905,85,0
1906,65,0
1907,83,0
1908,59,6
1909,69,9
1910,92,19
1911,101,9
1912,123,13
1913,121,12
1914,134,31
1915,187,22
1916,198,21
1917,175,25
1918,202,25
1919,240,28
1920,226,25
1921,253,16
1922,249,28
1923,230,18
1924,216,20
1925,281,26
1926,263,24
1927,220,24
1928,228,23
1929,207,18
1930,193,20
1931,179,11
1932,163,17
1933,147,16
1934,157,14
1935,158,7
1936,151,17
1937,165,22
1938,139,7
1939,125,13
1940,152,13
1941,140,13
1942,150,10
1943,156,18
1944,157,16
1945,127,9
1946,173,12
1947,171,10
1948,183,15
1949,172,6
1950,177,13
1951,143,17
1952,178,9
1953,181,0
1954,140,16
1955,158,7
1956,164,5
1957,149,8
1958,147,8
1959,148,7
1960,159,0
1961,145,5
1962,140,6
1963,141,0
1964,137,0
1965,119,0
1966,89,0
1967,89,6
1968,79,0
1969,84,5
1970,89,0
1971,106,7
1972,86,0
1973,70,0
1974,80,5
1975,62,0
1976,60,0
1977,64,0
1978,53,0
1979,74,0
1980,72,5
1981,79,0
1982,94,0
1983,72,0
1984,56,0
1985,64,6
1986,79,0
1987,59,0
1988,70,0
1989,81,0
1990,67,0
1991,80,0
1992,68,0
1993,68,0
1994,79,0
1995,74,0
1996,71,0
1997,76,0
1998,78,0
1999,91,0
2000,102,0
2001,79,0
2002,98,0
2003,96,0
2004,87,0
2005,118,0
2006,95,0
2007,103,0
2008,137,0
2009,92,0
2010,119,0
2011,122,0
2012,117,0
2013,122,0
2014,115,0
2015,111,0
2016,111,0
2017,129,0
2018,118,0
2019,123,0
