year,F,M
1880,0,328
1881,5,314
1882,0,341
1883,6,325
1884,0,321
1885,0,345
1886,5,362
1887,5,327
1888,0,398
1889,10,369
1890,0,408
1891,0,362
1892,7,414
1893,5,392
1894,9,421
1895,10,430
1896,9,507
1897,12,447
1898,10,473
1899,0,449
1900,9,587
1901,8,445
1902,5,524
1903,9,478
1904,8,541
1905,8,593
1906,5,637
1907,11,691
1908,16,689
1909,14,724
1910,12,888
1911,13,1058
1912,11,2114
1913,21,2525
1914,28,3211
1915,25,4321
1916,35,4646
1917,41,4873
1918,41,5632
1919,47,5892
1920,49,6866
1921,57,7718
1922,45,7849
1923,58,7947
1924,68,8348
1925,55,8516
1926,75,9013
1927,85,9744
1928,75,9709
1929,68,9045
1930,85,9029
1931,59,8151
1932,63,8048
1933,44,7352
1934,44,7140
1935,34,6856
1936,42,6373
1937,31,6000
1938,31,6113
1939,40,5874
1940,31,5798
1941,29,5754
1942,32,6091
1943,19,5901
1944,25,5506
1945,22,5162
1946,24,5671
1947,27,6179
1948,23,5606
1949,28,5598
1950,17,5482
1951,19,5578
1952,26,5313
1953,20,5147
1954,20,5031
1955,25,4796
1956,18,4613
1957,13,4409
1958,20,4016
1959,20,3887
1960,17,3758
1961,11,3447
1962,18,3306
1963,30,3218
1964,19,3077
1965,20,2715
1966,20,2619
1967,17,2451
1968,25,2366
1969,12,2351
1970,14,2264
1971,14,2061
1972,17,1807
1973,22,1722
1974,25,1603
1975,20,1518
1976,14,1514
1977,17,1395
1978,10,1329
1979,16,1332
1980,13,1287
1981,14,1173
1982,13,1228
1983,17,1100
1984,14,1064
1985,10,995
1986,10,1019
1987,13,896
1988,10,912
1989,10,885
1990,5,810
1991,8,776
1992,12,715
1993,7,642
1994,0,636
1995,0,529
1996,0,496
1997,5,512
1998,7,487
1999,0,483
2000,8,454
2001,8,421
2002,6,405
2003,10,383
2004,9,382
2005,6,340
2006,0,352
2007,7,351
2008,0,341
2009,0,312
2010,10,287
2011,5,262
2012,0,315
2013,0,290
2014,0,291
2015,0,273
2016,5,299
2017,0,274
2018,0,253
2019,5,294
