year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,5
1913,0,0
1914,0,6
1915,0,10
1916,0,13
1917,0,7
1918,0,11
1919,0,9
1920,0,9
1921,0,12
1922,0,21
1923,0,12
1924,0,14
1925,0,10
1926,0,12
1927,0,16
1928,0,5
1929,0,10
1930,0,11
1931,0,12
1932,0,10
1933,0,11
1934,0,8
1935,0,11
1936,0,10
1937,0,16
1938,0,16
1939,0,6
1940,0,8
1941,0,6
1942,0,14
1943,0,8
1944,0,8
1945,0,10
1946,0,12
1947,0,10
1948,0,9
1949,0,14
1950,0,11
1951,0,7
1952,0,9
1953,0,10
1954,0,0
1955,0,9
1956,0,14
1957,0,10
1958,0,12
1959,0,7
1960,0,19
1961,0,9
1962,0,9
1963,0,19
1964,0,11
1965,0,14
1966,0,17
1967,0,17
1968,0,21
1969,0,25
1970,0,20
1971,0,28
1972,0,24
1973,0,34
1974,0,19
1975,0,23
1976,0,26
1977,0,23
1978,0,23
1979,0,27
1980,0,35
1981,0,37
1982,0,42
1983,0,24
1984,0,29
1985,0,32
1986,0,25
1987,0,37
1988,0,33
1989,0,34
1990,0,39
1991,0,36
1992,0,42
1993,0,42
1994,0,53
1995,0,86
1996,0,92
1997,0,82
1998,0,84
1999,0,75
2000,0,76
2001,0,71
2002,0,70
2003,0,88
2004,0,85
2005,0,87
2006,0,87
2007,0,58
2008,0,67
2009,0,40
2010,0,41
2011,0,42
2012,0,48
2013,0,36
2014,0,28
2015,0,27
2016,0,37
2017,0,28
2018,0,24
2019,0,25
