year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,5,0
1922,5,0
1923,0,0
1924,0,0
1925,6,0
1926,0,0
1927,0,0
1928,0,0
1929,11,0
1930,5,0
1931,5,0
1932,0,0
1933,5,0
1934,0,0
1935,7,0
1936,5,0
1937,8,0
1938,9,0
1939,12,0
1940,5,0
1941,6,0
1942,13,0
1943,9,0
1944,9,0
1945,0,0
1946,6,0
1947,11,0
1948,12,0
1949,15,0
1950,16,0
1951,17,0
1952,21,0
1953,25,0
1954,14,0
1955,24,0
1956,15,0
1957,21,0
1958,23,0
1959,11,0
1960,7,0
1961,16,0
1962,12,0
1963,13,0
1964,11,0
1965,5,0
1966,7,0
1967,14,0
1968,13,0
1969,17,0
1970,19,0
1971,26,0
1972,24,0
1973,15,0
1974,28,0
1975,21,0
1976,16,0
1977,16,0
1978,17,0
1979,22,0
1980,16,0
1981,19,0
1982,23,0
1983,12,0
1984,19,0
1985,19,0
1986,7,0
1987,15,0
1988,21,0
1989,28,0
1990,19,0
1991,16,0
1992,24,0
1993,13,0
1994,18,0
1995,26,0
1996,14,0
1997,13,0
1998,10,0
1999,16,0
2000,14,0
2001,10,0
2002,9,0
2003,10,0
2004,10,0
2005,9,0
2006,11,0
2007,10,0
2008,12,0
2009,11,0
2010,8,0
2011,8,0
2012,5,0
2013,0,0
2014,0,0
2015,5,0
2016,6,0
2017,0,0
2018,0,0
2019,5,0
