year,F,M
1880,26,0
1881,25,0
1882,50,0
1883,57,0
1884,85,0
1885,90,0
1886,91,0
1887,123,0
1888,154,0
1889,162,0
1890,195,0
1891,207,0
1892,265,0
1893,256,0
1894,299,0
1895,299,0
1896,339,0
1897,278,0
1898,335,0
1899,307,0
1900,300,0
1901,323,0
1902,282,0
1903,294,0
1904,280,0
1905,275,0
1906,244,0
1907,267,0
1908,317,0
1909,315,0
1910,319,0
1911,335,0
1912,445,0
1913,506,0
1914,639,0
1915,792,0
1916,838,0
1917,766,0
1918,804,0
1919,746,0
1920,674,0
1921,639,0
1922,566,0
1923,538,0
1924,541,0
1925,428,0
1926,405,0
1927,417,0
1928,372,0
1929,337,0
1930,318,0
1931,234,0
1932,270,0
1933,233,0
1934,267,0
1935,193,0
1936,241,0
1937,209,0
1938,213,0
1939,197,0
1940,200,0
1941,174,0
1942,165,0
1943,175,0
1944,170,0
1945,151,0
1946,171,0
1947,165,0
1948,192,0
1949,189,0
1950,181,0
1951,148,0
1952,138,0
1953,150,0
1954,141,0
1955,133,0
1956,160,0
1957,133,0
1958,136,0
1959,107,0
1960,101,0
1961,98,0
1962,85,0
1963,77,0
1964,78,0
1965,62,0
1966,61,0
1967,54,0
1968,55,0
1969,46,0
1970,33,0
1971,29,0
1972,33,0
1973,51,0
1974,35,0
1975,33,0
1976,23,0
1977,26,0
1978,19,0
1979,32,0
1980,29,0
1981,31,0
1982,26,0
1983,18,0
1984,29,0
1985,30,0
1986,17,0
1987,25,0
1988,30,0
1989,19,0
1990,27,0
1991,17,0
1992,16,0
1993,18,0
1994,22,0
1995,25,0
1996,25,0
1997,24,0
1998,21,0
1999,21,0
2000,14,0
2001,25,0
2002,23,0
2003,21,0
2004,33,0
2005,24,0
2006,17,0
2007,18,0
2008,27,0
2009,33,0
2010,32,0
2011,26,0
2012,33,0
2013,31,0
2014,36,0
2015,25,0
2016,47,0
2017,36,0
2018,35,0
2019,41,0
