year,Boys,Girls
1880,0,0
1881,5,0
1882,8,7
1883,8,0
1884,8,0
1885,17,0
1886,12,6
1887,9,0
1888,15,7
1889,19,6
1890,20,0
1891,29,7
1892,21,11
1893,31,13
1894,22,10
1895,32,13
1896,36,9
1897,32,6
1898,32,11
1899,32,8
1900,28,9
1901,25,12
1902,26,11
1903,31,17
1904,36,12
1905,14,8
1906,34,12
1907,35,19
1908,30,13
1909,32,10
1910,33,25
1911,32,23
1912,53,40
1913,58,61
1914,102,88
1915,135,143
1916,196,151
1917,217,158
1918,206,170
1919,184,176
1920,181,171
1921,204,177
1922,142,175
1923,154,208
1924,165,172
1925,163,179
1926,206,189
1927,186,122
1928,173,176
1929,172,147
1930,198,151
1931,239,135
1932,354,156
1933,541,171
1934,1177,212
1935,1800,194
1936,2342,220
1937,2634,218
1938,3216,193
1939,3353,217
1940,3621,190
1941,3608,199
1942,4444,227
1943,4810,213
1944,4526,195
1945,4831,167
1946,6228,209
1947,7240,205
1948,6604,202
1949,7226,210
1950,8348,173
1951,9885,180
1952,9762,167
1953,9586,155
1954,9724,108
1955,8971,115
1956,8435,112
1957,7949,103
1958,6606,89
1959,6351,104
1960,5420,58
1961,4974,74
1962,4379,66
1963,4105,52
1964,3446,39
1965,2858,38
1966,2301,39
1967,2022,37
1968,1802,32
1969,1562,37
1970,1425,24
1971,1184,39
1972,987,34
1973,746,30
1974,628,25
1975,561,26
1976,475,20
1977,392,14
1978,392,11
1979,350,13
1980,302,6
1981,290,17
1982,306,6
1983,275,6
1984,237,5
1985,194,0
1986,154,5
1987,144,8
1988,136,6
1989,131,6
1990,127,0
1991,117,0
1992,93,0
1993,77,0
1994,65,0
1995,54,0
1996,63,0
1997,58,0
1998,57,0
1999,41,0
2000,37,0
2001,28,0
2002,29,0
2003,37,0
2004,46,0
2005,24,0
2006,21,0
2007,23,0
2008,18,0
2009,19,0
2010,15,0
2011,14,0
2012,21,0
2013,24,0
2014,13,0
2015,15,0
2016,20,0
2017,13,0
2018,18,0
2019,15,0
