year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,5,0
1953,5,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,5,0
1959,0,0
1960,0,0
1961,7,0
1962,8,0
1963,14,0
1964,16,0
1965,30,0
1966,29,0
1967,42,0
1968,26,0
1969,37,0
1970,56,0
1971,44,0
1972,43,0
1973,47,0
1974,53,0
1975,56,0
1976,59,0
1977,55,0
1978,77,0
1979,83,0
1980,90,0
1981,97,0
1982,94,0
1983,84,0
1984,96,0
1985,110,0
1986,89,0
1987,102,0
1988,97,0
1989,102,0
1990,127,0
1991,144,0
1992,131,0
1993,140,0
1994,127,0
1995,149,0
1996,164,0
1997,175,0
1998,166,0
1999,178,0
2000,216,0
2001,184,0
2002,160,0
2003,129,0
2004,148,0
2005,136,0
2006,113,0
2007,90,0
2008,79,0
2009,63,0
2010,60,0
2011,40,0
2012,34,0
2013,34,0
2014,31,0
2015,27,0
2016,23,0
2017,29,0
2018,14,0
2019,18,0
