year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,5
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,6
1944,0,6
1945,0,11
1946,0,10
1947,0,15
1948,0,17
1949,0,12
1950,0,23
1951,0,14
1952,0,20
1953,0,29
1954,0,35
1955,0,35
1956,0,43
1957,0,24
1958,0,29
1959,0,33
1960,0,18
1961,0,32
1962,0,34
1963,0,37
1964,0,41
1965,0,51
1966,0,47
1967,0,69
1968,0,58
1969,0,71
1970,0,89
1971,0,100
1972,0,201
1973,0,233
1974,0,137
1975,0,112
1976,0,107
1977,0,90
1978,0,94
1979,0,84
1980,0,104
1981,0,103
1982,0,112
1983,0,108
1984,0,85
1985,0,110
1986,0,95
1987,0,82
1988,0,85
1989,0,258
1990,0,251
1991,0,170
1992,0,133
1993,0,122
1994,0,89
1995,0,94
1996,0,72
1997,0,79
1998,0,76
1999,0,84
2000,0,79
2001,0,70
2002,0,72
2003,0,75
2004,0,59
2005,0,49
2006,0,70
2007,0,43
2008,0,53
2009,0,44
2010,0,42
2011,0,42
2012,0,42
2013,0,24
2014,0,39
2015,0,35
2016,0,37
2017,0,30
2018,0,34
2019,0,25
