year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,5,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,5,0
1915,5,0
1916,7,0
1917,9,0
1918,7,0
1919,0,0
1920,5,0
1921,11,0
1922,10,0
1923,5,0
1924,10,0
1925,5,0
1926,7,0
1927,8,0
1928,11,0
1929,10,0
1930,6,0
1931,6,0
1932,8,0
1933,10,0
1934,5,0
1935,6,0
1936,0,0
1937,0,0
1938,6,0
1939,0,0
1940,7,0
1941,0,0
1942,0,0
1943,5,0
1944,0,0
1945,7,0
1946,6,0
1947,6,0
1948,10,0
1949,0,0
1950,9,0
1951,9,0
1952,0,0
1953,0,0
1954,5,0
1955,5,0
1956,0,0
1957,7,0
1958,0,0
1959,9,0
1960,7,0
1961,5,0
1962,0,0
1963,7,0
1964,0,0
1965,8,0
1966,5,0
1967,6,0
1968,10,0
1969,8,0
1970,6,0
1971,8,0
1972,8,0
1973,6,0
1974,6,0
1975,8,0
1976,6,0
1977,5,0
1978,15,0
1979,9,0
1980,7,0
1981,12,0
1982,6,0
1983,7,0
1984,14,0
1985,17,0
1986,7,0
1987,10,0
1988,10,0
1989,8,0
1990,20,0
1991,15,0
1992,12,0
1993,16,0
1994,11,0
1995,8,0
1996,17,0
1997,15,0
1998,11,0
1999,16,0
2000,9,0
2001,16,0
2002,13,0
2003,11,0
2004,10,0
2005,13,0
2006,10,0
2007,8,0
2008,15,0
2009,15,0
2010,7,0
2011,0,0
2012,0,0
2013,16,0
2014,9,0
2015,11,0
2016,10,0
2017,14,0
2018,14,0
2019,8,0
