year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,5
1907,0,0
1908,0,5
1909,0,0
1910,0,8
1911,0,0
1912,0,9
1913,0,13
1914,0,11
1915,0,14
1916,0,13
1917,0,13
1918,0,12
1919,0,18
1920,0,13
1921,0,23
1922,0,32
1923,0,20
1924,0,18
1925,0,16
1926,0,23
1927,0,31
1928,0,19
1929,0,23
1930,0,30
1931,0,23
1932,0,20
1933,0,20
1934,0,21
1935,0,20
1936,0,14
1937,0,11
1938,0,22
1939,0,16
1940,0,29
1941,0,21
1942,0,21
1943,0,16
1944,0,27
1945,0,43
1946,0,37
1947,0,42
1948,0,57
1949,0,51
1950,0,71
1951,0,94
1952,0,74
1953,0,102
1954,0,113
1955,0,153
1956,0,132
1957,0,167
1958,0,177
1959,0,201
1960,0,233
1961,0,242
1962,0,254
1963,0,285
1964,0,265
1965,0,323
1966,0,296
1967,0,329
1968,0,349
1969,5,346
1970,5,445
1971,0,462
1972,8,459
1973,5,447
1974,8,516
1975,7,739
1976,8,680
1977,10,631
1978,6,576
1979,11,698
1980,7,635
1981,10,699
1982,5,689
1983,9,715
1984,0,623
1985,12,709
1986,11,709
1987,0,686
1988,6,837
1989,8,934
1990,6,1063
1991,16,1182
1992,8,1299
1993,13,1356
1994,12,1286
1995,14,1324
1996,14,1510
1997,0,1432
1998,0,1473
1999,0,1568
2000,10,1703
2001,0,1520
2002,0,1442
2003,5,1398
2004,0,1414
2005,0,1312
2006,0,1291
2007,0,1335
2008,0,1174
2009,0,993
2010,0,864
2011,0,836
2012,0,817
2013,0,756
2014,0,772
2015,0,743
2016,0,681
2017,0,637
2018,0,490
2019,0,479
