year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,5,0
1910,0,0
1911,5,0
1912,15,0
1913,8,0
1914,6,0
1915,11,0
1916,17,0
1917,16,0
1918,13,0
1919,12,0
1920,12,0
1921,15,0
1922,11,0
1923,14,0
1924,15,0
1925,13,0
1926,9,0
1927,17,0
1928,15,0
1929,11,0
1930,7,0
1931,9,0
1932,10,0
1933,10,0
1934,5,0
1935,5,0
1936,10,0
1937,0,0
1938,8,0
1939,12,0
1940,6,0
1941,8,0
1942,7,0
1943,5,0
1944,6,0
1945,6,0
1946,0,0
1947,8,0
1948,0,0
1949,5,0
1950,0,0
1951,0,0
1952,9,0
1953,0,0
1954,5,0
1955,5,0
1956,0,0
1957,0,0
1958,8,0
1959,0,0
1960,0,0
1961,0,0
1962,5,0
1963,8,0
1964,8,0
1965,5,0
1966,7,0
1967,0,0
1968,11,0
1969,0,0
1970,12,0
1971,12,0
1972,9,0
1973,0,0
1974,10,0
1975,8,0
1976,9,0
1977,18,0
1978,9,0
1979,15,0
1980,18,0
1981,23,0
1982,25,0
1983,24,0
1984,23,0
1985,30,0
1986,26,0
1987,29,0
1988,38,0
1989,43,0
1990,52,0
1991,58,0
1992,67,0
1993,66,0
1994,74,0
1995,63,0
1996,82,0
1997,75,0
1998,85,0
1999,89,0
2000,95,0
2001,111,0
2002,101,0
2003,115,0
2004,120,0
2005,143,0
2006,137,0
2007,137,0
2008,145,0
2009,117,0
2010,114,0
2011,94,0
2012,101,0
2013,86,0
2014,89,0
2015,77,0
2016,115,0
2017,114,0
2018,111,0
2019,95,0
