year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,5,0
1914,8,0
1915,18,0
1916,13,0
1917,18,0
1918,25,0
1919,24,0
1920,33,0
1921,36,0
1922,24,0
1923,29,0
1924,41,0
1925,30,0
1926,32,0
1927,27,0
1928,20,0
1929,19,0
1930,33,0
1931,32,0
1932,31,0
1933,61,0
1934,76,0
1935,120,0
1936,188,0
1937,156,0
1938,138,0
1939,165,0
1940,202,0
1941,226,0
1942,229,0
1943,313,0
1944,317,0
1945,362,0
1946,596,0
1947,684,0
1948,600,0
1949,665,0
1950,657,0
1951,866,0
1952,903,0
1953,860,0
1954,859,0
1955,845,0
1956,973,0
1957,1006,0
1958,952,0
1959,1092,0
1960,1138,0
1961,1083,0
1962,1185,0
1963,1225,0
1964,1183,8
1965,1111,0
1966,1149,0
1967,1161,0
1968,1191,5
1969,1276,0
1970,1381,0
1971,1670,0
1972,1317,7
1973,1271,7
1974,1281,6
1975,1077,8
1976,1080,0
1977,952,0
1978,996,0
1979,758,0
1980,750,0
1981,720,0
1982,683,0
1983,527,0
1984,431,0
1985,336,0
1986,289,0
1987,235,0
1988,220,0
1989,173,0
1990,146,0
1991,153,0
1992,155,0
1993,126,0
1994,116,0
1995,100,0
1996,99,0
1997,102,0
1998,122,0
1999,107,0
2000,109,0
2001,117,0
2002,132,0
2003,134,0
2004,131,0
2005,154,0
2006,138,0
2007,174,0
2008,134,0
2009,168,0
2010,148,0
2011,125,0
2012,112,0
2013,93,0
2014,80,0
2015,68,0
2016,56,0
2017,62,0
2018,60,0
2019,57,0
