year,Boys,Girls
1880,0,24
1881,0,31
1882,0,27
1883,0,27
1884,5,47
1885,5,45
1886,0,49
1887,5,52
1888,5,77
1889,0,58
1890,6,68
1891,0,85
1892,6,106
1893,0,77
1894,6,108
1895,0,102
1896,7,113
1897,6,88
1898,7,111
1899,0,101
1900,6,134
1901,5,105
1902,0,123
1903,7,121
1904,7,120
1905,6,128
1906,11,120
1907,5,150
1908,0,158
1909,8,178
1910,0,184
1911,5,231
1912,12,460
1913,9,606
1914,12,853
1915,20,1112
1916,24,1156
1917,22,1235
1918,30,1318
1919,22,1389
1920,23,1413
1921,22,1506
1922,28,1384
1923,27,1450
1924,16,1518
1925,26,1537
1926,36,1519
1927,36,1617
1928,31,1595
1929,29,1428
1930,30,1593
1931,28,1563
1932,18,1465
1933,25,1335
1934,17,1442
1935,24,1394
1936,19,1440
1937,23,1359
1938,20,1464
1939,19,1426
1940,24,1434
1941,14,1410
1942,15,1421
1943,11,1444
1944,13,1451
1945,19,1395
1946,21,1678
1947,10,2069
1948,22,2046
1949,21,2201
1950,16,2174
1951,21,2221
1952,23,2492
1953,15,2390
1954,22,2494
1955,25,2491
1956,20,2719
1957,23,2923
1958,23,2787
1959,20,2699
1960,7,2442
1961,16,2688
1962,22,2832
1963,12,2358
1964,8,2125
1965,13,2069
1966,11,1748
1967,9,1711
1968,14,1668
1969,14,2242
1970,14,2000
1971,11,1532
1972,6,1155
1973,6,868
1974,8,819
1975,0,807
1976,5,751
1977,0,667
1978,0,653
1979,0,587
1980,5,599
1981,6,609
1982,0,584
1983,0,527
1984,5,549
1985,7,509
1986,0,463
1987,0,505
1988,5,506
1989,0,480
1990,0,450
1991,0,416
1992,0,370
1993,0,337
1994,0,321
1995,0,302
1996,0,259
1997,0,237
1998,0,218
1999,0,203
2000,0,217
2001,0,194
2002,0,182
2003,0,166
2004,0,147
2005,0,127
2006,0,125
2007,0,130
2008,0,114
2009,0,119
2010,0,94
2011,0,118
2012,0,97
2013,0,102
2014,0,105
2015,0,94
2016,0,84
2017,0,99
2018,0,78
2019,0,74
