year,Boys,Girls
1880,0,0
1881,7,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,6,0
1891,0,0
1892,8,0
1893,6,0
1894,11,0
1895,10,0
1896,0,0
1897,10,0
1898,13,0
1899,7,0
1900,38,0
1901,28,0
1902,23,0
1903,25,0
1904,32,0
1905,41,0
1906,42,0
1907,52,0
1908,71,0
1909,83,0
1910,115,0
1911,126,0
1912,159,0
1913,158,0
1914,192,0
1915,239,0
1916,331,0
1917,435,0
1918,516,0
1919,547,0
1920,1016,0
1921,2731,7
1922,4496,13
1923,5310,7
1924,6533,10
1925,9381,25
1926,9197,37
1927,8535,28
1928,8117,36
1929,7539,31
1930,7604,42
1931,8549,34
1932,7811,46
1933,6754,31
1934,6810,31
1935,6348,28
1936,6139,25
1937,6333,40
1938,6300,34
1939,5939,32
1940,8025,52
1941,9007,47
1942,9448,48
1943,9684,38
1944,9968,36
1945,11035,48
1946,11687,37
1947,12626,35
1948,11688,37
1949,11876,34
1950,11037,28
1951,10953,38
1952,10461,34
1953,9679,39
1954,8924,32
1955,8554,31
1956,7923,37
1957,7120,26
1958,6129,29
1959,5924,35
1960,5955,30
1961,5692,31
1962,5103,14
1963,4537,14
1964,3963,22
1965,3441,24
1966,2858,15
1967,2616,10
1968,2255,6
1969,2167,13
1970,2044,16
1971,1866,0
1972,1618,16
1973,1554,8
1974,1421,11
1975,1288,17
1976,1174,0
1977,1129,16
1978,1050,7
1979,1075,10
1980,1070,10
1981,1109,12
1982,1074,10
1983,1150,15
1984,1047,10
1985,999,11
1986,976,19
1987,989,10
1988,937,12
1989,1080,17
1990,1180,16
1991,1127,6
1992,1112,6
1993,1006,9
1994,980,0
1995,896,7
1996,928,5
1997,864,5
1998,885,0
1999,809,0
2000,842,0
2001,714,0
2002,779,0
2003,712,0
2004,723,0
2005,717,0
2006,701,0
2007,714,0
2008,740,0
2009,616,0
2010,588,0
2011,510,0
2012,583,0
2013,572,0
2014,571,0
2015,597,0
2016,566,0
2017,542,0
2018,527,0
2019,544,0
