year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,6
1906,0,0
1907,0,0
1908,0,6
1909,0,0
1910,0,5
1911,0,5
1912,0,12
1913,0,15
1914,0,15
1915,0,27
1916,0,24
1917,0,26
1918,0,25
1919,0,35
1920,0,28
1921,0,21
1922,0,33
1923,0,29
1924,0,28
1925,0,28
1926,0,26
1927,0,22
1928,0,26
1929,0,32
1930,0,16
1931,0,39
1932,0,20
1933,0,16
1934,0,20
1935,0,11
1936,0,25
1937,0,22
1938,0,25
1939,0,18
1940,0,17
1941,0,33
1942,0,26
1943,0,25
1944,0,27
1945,0,15
1946,0,19
1947,0,24
1948,0,37
1949,0,18
1950,0,29
1951,0,25
1952,0,29
1953,0,23
1954,0,28
1955,0,25
1956,0,24
1957,0,26
1958,0,16
1959,0,22
1960,0,36
1961,5,22
1962,0,26
1963,0,24
1964,0,26
1965,0,18
1966,0,31
1967,0,37
1968,0,28
1969,6,34
1970,0,45
1971,7,35
1972,7,29
1973,0,27
1974,0,36
1975,0,46
1976,0,40
1977,0,36
1978,5,45
1979,6,56
1980,8,70
1981,5,48
1982,7,56
1983,9,76
1984,5,100
1985,11,134
1986,10,134
1987,10,154
1988,13,151
1989,11,169
1990,13,228
1991,13,238
1992,19,279
1993,22,293
1994,24,385
1995,118,531
1996,110,582
1997,96,658
1998,118,725
1999,126,811
2000,160,926
2001,190,875
2002,156,929
2003,138,1024
2004,159,1196
2005,162,1308
2006,143,1680
2007,191,1853
2008,154,2115
2009,110,2258
2010,133,3354
2011,115,3939
2012,177,4712
2013,163,5553
2014,166,6575
2015,170,7917
2016,157,8681
2017,128,8694
2018,114,8573
2019,89,8237
