year,Boys,Girls
1880,6,0
1881,5,0
1882,7,0
1883,8,0
1884,11,0
1885,5,0
1886,0,0
1887,9,0
1888,5,0
1889,10,0
1890,9,0
1891,8,0
1892,0,0
1893,7,0
1894,6,0
1895,6,0
1896,8,0
1897,9,0
1898,7,0
1899,6,0
1900,0,0
1901,5,0
1902,7,0
1903,0,0
1904,5,0
1905,9,0
1906,6,0
1907,7,0
1908,8,0
1909,8,0
1910,0,0
1911,6,0
1912,11,0
1913,15,0
1914,16,0
1915,24,0
1916,18,0
1917,25,0
1918,13,0
1919,21,0
1920,13,0
1921,15,0
1922,14,0
1923,11,0
1924,7,0
1925,10,0
1926,17,0
1927,5,0
1928,13,0
1929,11,0
1930,14,0
1931,5,0
1932,5,0
1933,6,0
1934,5,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,6,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,5,0
1952,0,0
1953,6,0
1954,5,0
1955,0,0
1956,7,0
1957,0,0
1958,5,0
1959,5,0
1960,0,0
1961,5,0
1962,5,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,6,0
1974,0,0
1975,0,0
1976,6,0
1977,0,0
1978,0,0
1979,0,0
1980,5,0
1981,0,0
1982,0,0
1983,0,0
1984,5,0
1985,5,0
1986,9,0
1987,0,0
1988,0,0
1989,8,0
1990,0,0
1991,0,0
1992,7,0
1993,7,0
1994,0,0
1995,8,0
1996,5,0
1997,9,0
1998,7,0
1999,0,0
2000,5,0
2001,5,0
2002,7,0
2003,5,0
2004,6,0
2005,6,0
2006,0,0
2007,11,0
2008,10,0
2009,6,0
2010,7,0
2011,7,0
2012,6,0
2013,0,0
2014,8,0
2015,6,0
2016,0,0
2017,10,0
2018,6,0
2019,0,0
