year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,7
1896,0,0
1897,5,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,7
1913,0,9
1914,0,11
1915,0,8
1916,0,6
1917,0,7
1918,0,9
1919,0,14
1920,0,12
1921,0,11
1922,0,6
1923,7,13
1924,0,15
1925,0,7
1926,0,7
1927,0,6
1928,0,9
1929,0,8
1930,0,8
1931,0,0
1932,0,7
1933,0,5
1934,0,7
1935,0,7
1936,0,5
1937,0,6
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,8
1943,0,8
1944,0,5
1945,0,0
1946,0,5
1947,0,0
1948,0,5
1949,0,5
1950,0,0
1951,0,6
1952,0,0
1953,0,0
1954,0,5
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,8
1971,0,0
1972,0,9
1973,0,0
1974,0,5
1975,0,6
1976,0,8
1977,0,8
1978,0,0
1979,0,7
1980,0,0
1981,0,5
1982,0,6
1983,0,35
1984,0,26
1985,0,10
1986,0,7
1987,0,12
1988,0,10
1989,0,10
1990,0,8
1991,0,7
1992,0,11
1993,0,15
1994,0,18
1995,0,6
1996,0,10
1997,0,12
1998,0,18
1999,0,12
2000,0,12
2001,0,8
2002,0,12
2003,0,8
2004,0,5
2005,0,8
2006,0,18
2007,0,11
2008,0,14
2009,0,9
2010,0,13
2011,0,12
2012,0,19
2013,0,17
2014,0,13
2015,0,14
2016,0,16
2017,0,18
2018,0,19
2019,0,9
