year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,5,0
1913,7,0
1914,5,0
1915,6,0
1916,11,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,6,0
1922,5,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,5,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,5,0
1961,0,0
1962,0,0
1963,10,0
1964,0,0
1965,5,0
1966,7,0
1967,0,0
1968,0,0
1969,9,0
1970,13,0
1971,12,0
1972,11,0
1973,17,0
1974,17,0
1975,23,0
1976,19,0
1977,49,0
1978,33,0
1979,43,0
1980,36,0
1981,62,0
1982,73,0
1983,84,0
1984,76,0
1985,101,0
1986,121,0
1987,126,0
1988,107,0
1989,135,0
1990,148,6
1991,173,0
1992,156,0
1993,185,0
1994,216,0
1995,203,0
1996,221,0
1997,297,0
1998,296,0
1999,339,0
2000,391,0
2001,388,0
2002,411,0
2003,392,0
2004,393,0
2005,416,0
2006,391,0
2007,369,0
2008,343,0
2009,335,0
2010,316,0
2011,315,0
2012,315,0
2013,353,0
2014,329,0
2015,326,0
2016,335,0
2017,352,0
2018,389,0
2019,330,0
