year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,5
1909,0,6
1910,0,0
1911,0,5
1912,0,0
1913,0,0
1914,0,5
1915,0,6
1916,0,7
1917,0,0
1918,0,8
1919,0,7
1920,0,9
1921,0,9
1922,0,13
1923,0,16
1924,0,20
1925,0,6
1926,0,11
1927,0,21
1928,0,9
1929,0,10
1930,0,13
1931,0,17
1932,0,16
1933,0,17
1934,0,8
1935,0,21
1936,0,25
1937,0,22
1938,0,18
1939,0,28
1940,0,26
1941,0,22
1942,0,32
1943,0,40
1944,0,30
1945,0,40
1946,0,61
1947,0,76
1948,0,71
1949,0,65
1950,0,84
1951,0,103
1952,0,105
1953,0,154
1954,0,175
1955,0,121
1956,0,169
1957,0,153
1958,0,147
1959,0,159
1960,0,154
1961,0,155
1962,0,148
1963,0,177
1964,0,186
1965,0,187
1966,0,158
1967,0,148
1968,0,134
1969,0,117
1970,0,154
1971,0,111
1972,0,107
1973,0,105
1974,0,117
1975,0,97
1976,0,76
1977,0,83
1978,0,63
1979,0,71
1980,0,93
1981,0,100
1982,0,85
1983,0,111
1984,0,97
1985,0,87
1986,0,96
1987,0,108
1988,0,99
1989,0,100
1990,0,95
1991,0,95
1992,0,115
1993,0,88
1994,0,67
1995,0,86
1996,0,73
1997,0,84
1998,0,89
1999,0,56
2000,0,82
2001,0,79
2002,0,74
2003,0,89
2004,0,134
2005,0,141
2006,0,135
2007,0,158
2008,0,181
2009,0,169
2010,0,266
2011,0,336
2012,0,346
2013,0,390
2014,0,448
2015,0,533
2016,0,632
2017,0,679
2018,0,647
2019,0,649
