year,Boys,Girls
1880,0,0
1881,5,0
1882,0,0
1883,0,0
1884,5,0
1885,9,0
1886,7,0
1887,0,0
1888,8,0
1889,0,0
1890,6,0
1891,5,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,6,0
1899,7,0
1900,6,0
1901,0,0
1902,6,0
1903,0,0
1904,6,0
1905,5,0
1906,0,0
1907,9,0
1908,8,0
1909,6,0
1910,7,0
1911,0,0
1912,6,0
1913,15,0
1914,16,0
1915,11,0
1916,19,0
1917,17,0
1918,26,0
1919,22,0
1920,22,0
1921,39,0
1922,19,0
1923,39,0
1924,31,0
1925,30,0
1926,35,0
1927,31,0
1928,38,0
1929,29,0
1930,24,0
1931,21,0
1932,28,0
1933,23,0
1934,24,0
1935,30,0
1936,20,0
1937,20,0
1938,15,0
1939,9,0
1940,20,0
1941,15,0
1942,19,0
1943,16,0
1944,16,0
1945,11,0
1946,9,0
1947,10,0
1948,9,0
1949,5,0
1950,10,0
1951,0,0
1952,0,0
1953,0,0
1954,6,0
1955,0,0
1956,7,0
1957,6,0
1958,6,0
1959,0,0
1960,0,0
1961,0,0
1962,5,0
1963,5,0
1964,6,0
1965,0,0
1966,5,0
1967,0,0
1968,0,0
1969,0,0
1970,6,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,6,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
