year,Girls,Boys
1880,0,10
1881,0,9
1882,0,17
1883,0,18
1884,0,16
1885,0,10
1886,0,13
1887,0,14
1888,0,10
1889,0,11
1890,0,7
1891,0,10
1892,0,14
1893,0,20
1894,0,21
1895,0,21
1896,0,17
1897,0,18
1898,0,16
1899,0,25
1900,0,28
1901,0,17
1902,0,20
1903,0,23
1904,0,22
1905,0,25
1906,0,14
1907,0,27
1908,0,26
1909,0,36
1910,0,33
1911,0,40
1912,0,61
1913,0,70
1914,0,77
1915,0,91
1916,0,98
1917,0,90
1918,0,101
1919,0,137
1920,0,124
1921,0,113
1922,0,108
1923,0,127
1924,0,93
1925,0,120
1926,0,102
1927,0,112
1928,0,88
1929,0,86
1930,0,89
1931,0,84
1932,0,89
1933,0,95
1934,0,86
1935,0,87
1936,0,94
1937,0,86
1938,0,93
1939,0,104
1940,0,92
1941,0,81
1942,0,93
1943,0,93
1944,0,82
1945,0,86
1946,0,80
1947,0,113
1948,0,90
1949,0,87
1950,0,114
1951,0,88
1952,0,74
1953,0,82
1954,0,73
1955,0,89
1956,0,82
1957,0,78
1958,0,68
1959,0,50
1960,0,79
1961,0,62
1962,0,63
1963,0,72
1964,0,48
1965,0,60
1966,0,41
1967,0,46
1968,0,36
1969,0,47
1970,0,52
1971,0,50
1972,0,36
1973,0,37
1974,0,33
1975,0,31
1976,0,36
1977,0,43
1978,0,31
1979,0,25
1980,0,27
1981,0,24
1982,0,25
1983,0,16
1984,0,33
1985,0,20
1986,0,21
1987,0,20
1988,0,23
1989,0,17
1990,0,17
1991,0,18
1992,0,21
1993,0,14
1994,0,12
1995,0,13
1996,0,12
1997,0,16
1998,0,10
1999,0,7
2000,0,11
2001,0,6
2002,0,8
2003,0,11
2004,0,13
2005,0,9
2006,0,8
2007,0,9
2008,0,10
2009,0,10
2010,0,5
2011,0,0
2012,0,7
2013,0,16
2014,0,10
2015,0,13
2016,0,10
2017,0,7
2018,0,12
2019,0,6
