year,Girls,Boys
1880,636,0
1881,612,7
1882,838,0
1883,862,5
1884,986,0
1885,1134,6
1886,1267,0
1887,1405,0
1888,1847,5
1889,1909,8
1890,2312,7
1891,2417,9
1892,2936,7
1893,3249,8
1894,3676,8
1895,4023,17
1896,4392,10
1897,4519,16
1898,5230,17
1899,5048,16
1900,6342,18
1901,5247,17
1902,5967,30
1903,6129,29
1904,6488,15
1905,6811,26
1906,7176,26
1907,7579,20
1908,8439,30
1909,9250,36
1910,10479,30
1911,11801,46
1912,16133,38
1913,18888,51
1914,23221,54
1915,30866,60
1916,32662,83
1917,34251,61
1918,36148,80
1919,33706,60
1920,35097,63
1921,34822,66
1922,32509,67
1923,31487,62
1924,31193,79
1925,29172,80
1926,26886,74
1927,25319,92
1928,22935,88
1929,20986,77
1930,19912,83
1931,17662,67
1932,16375,89
1933,14644,82
1934,14101,49
1935,12783,67
1936,12235,52
1937,11454,66
1938,10836,65
1939,10417,45
1940,10202,38
1941,9889,49
1942,10014,37
1943,9800,38
1944,8696,36
1945,8301,30
1946,8851,33
1947,8979,24
1948,8302,22
1949,7706,27
1950,7059,19
1951,6950,14
1952,6465,17
1953,6122,20
1954,5945,14
1955,5591,18
1956,5278,17
1957,5021,14
1958,4763,20
1959,4374,15
1960,4068,10
1961,3857,12
1962,3587,16
1963,3339,9
1964,3098,9
1965,2802,14
1966,2448,5
1967,2155,8
1968,1882,12
1969,1858,10
1970,1716,9
1971,1440,9
1972,1242,9
1973,1132,0
1974,1140,7
1975,1058,6
1976,944,9
1977,994,6
1978,926,5
1979,878,5
1980,912,0
1981,898,0
1982,876,0
1983,844,0
1984,858,7
1985,808,6
1986,768,6
1987,816,0
1988,774,7
1989,857,10
1990,863,7
1991,774,5
1992,827,0
1993,868,5
1994,849,5
1995,836,0
1996,900,0
1997,812,0
1998,832,0
1999,841,0
2000,891,0
2001,884,0
2002,875,0
2003,783,0
2004,861,5
2005,960,0
2006,949,0
2007,931,0
2008,885,0
2009,826,0
2010,703,0
2011,730,0
2012,772,0
2013,739,0
2014,802,0
2015,765,0
2016,815,0
2017,760,0
2018,745,0
2019,737,0
