year,Girls,Boys
1880,0,12
1881,0,13
1882,0,27
1883,0,15
1884,0,17
1885,0,13
1886,0,16
1887,0,14
1888,0,13
1889,0,20
1890,0,14
1891,0,16
1892,0,21
1893,0,20
1894,0,16
1895,0,25
1896,0,16
1897,0,10
1898,0,18
1899,0,12
1900,0,20
1901,0,11
1902,0,19
1903,0,9
1904,0,18
1905,0,25
1906,0,18
1907,0,14
1908,0,19
1909,0,22
1910,0,19
1911,0,16
1912,0,35
1913,0,40
1914,0,40
1915,0,60
1916,0,71
1917,0,71
1918,0,83
1919,0,61
1920,0,76
1921,0,61
1922,0,63
1923,0,64
1924,0,66
1925,0,60
1926,0,55
1927,0,63
1928,0,61
1929,0,50
1930,0,39
1931,0,42
1932,0,50
1933,0,43
1934,0,45
1935,0,36
1936,0,41
1937,0,36
1938,0,40
1939,0,47
1940,0,37
1941,0,44
1942,0,36
1943,0,40
1944,0,44
1945,0,40
1946,0,36
1947,0,42
1948,0,39
1949,0,43
1950,0,48
1951,0,47
1952,0,35
1953,0,41
1954,0,36
1955,0,36
1956,0,24
1957,0,23
1958,0,29
1959,0,30
1960,0,14
1961,0,32
1962,0,28
1963,0,21
1964,0,17
1965,0,17
1966,0,27
1967,0,22
1968,0,19
1969,0,22
1970,0,14
1971,0,12
1972,0,13
1973,0,21
1974,0,12
1975,0,15
1976,0,14
1977,0,16
1978,0,17
1979,0,19
1980,0,10
1981,0,14
1982,0,22
1983,0,16
1984,0,11
1985,0,18
1986,0,15
1987,0,16
1988,0,14
1989,0,19
1990,0,16
1991,0,17
1992,0,16
1993,0,13
1994,0,18
1995,0,11
1996,0,14
1997,0,14
1998,0,22
1999,0,13
2000,0,20
2001,0,15
2002,0,17
2003,0,18
2004,0,9
2005,0,21
2006,0,9
2007,0,16
2008,0,27
2009,0,22
2010,0,25
2011,0,23
2012,0,19
2013,0,22
2014,0,36
2015,0,33
2016,0,30
2017,0,32
2018,0,31
2019,0,55
