year,F,M
1880,0,424
1881,0,369
1882,0,431
1883,0,422
1884,0,421
1885,0,388
1886,0,400
1887,0,445
1888,0,485
1889,0,472
1890,0,467
1891,0,501
1892,0,513
1893,0,519
1894,5,585
1895,0,569
1896,0,635
1897,5,565
1898,0,716
1899,0,590
1900,0,751
1901,0,573
1902,0,615
1903,0,668
1904,0,680
1905,7,681
1906,5,689
1907,0,710
1908,6,759
1909,0,831
1910,0,886
1911,10,1125
1912,12,2236
1913,10,2723
1914,14,3253
1915,18,4341
1916,16,4463
1917,22,4745
1918,20,5128
1919,21,4960
1920,19,5249
1921,21,5217
1922,19,5047
1923,20,5072
1924,28,5121
1925,32,4924
1926,41,4939
1927,39,5018
1928,48,8067
1929,48,7875
1930,47,5673
1931,36,4788
1932,31,4368
1933,21,3683
1934,11,3601
1935,18,3439
1936,19,3116
1937,13,3039
1938,15,3015
1939,18,3097
1940,16,2874
1941,12,2963
1942,7,3111
1943,11,3043
1944,9,2775
1945,18,2661
1946,9,2820
1947,15,2855
1948,12,2871
1949,12,2730
1950,8,2623
1951,15,2705
1952,16,2655
1953,11,2614
1954,12,2592
1955,17,2503
1956,8,2392
1957,9,2278
1958,7,2082
1959,6,1845
1960,12,1783
1961,12,1687
1962,16,1578
1963,6,1504
1964,10,1392
1965,12,1379
1966,9,1158
1967,9,1150
1968,0,1056
1969,5,1011
1970,6,1034
1971,11,951
1972,5,804
1973,9,708
1974,7,677
1975,0,672
1976,0,632
1977,7,587
1978,5,567
1979,6,618
1980,5,569
1981,5,550
1982,5,518
1983,0,482
1984,0,436
1985,0,430
1986,5,383
1987,5,350
1988,0,400
1989,0,351
1990,0,348
1991,0,285
1992,0,307
1993,0,273
1994,0,235
1995,0,217
1996,0,204
1997,0,195
1998,0,193
1999,0,151
2000,0,157
2001,0,148
2002,0,161
2003,0,120
2004,0,109
2005,0,118
2006,0,113
2007,0,104
2008,0,110
2009,0,94
2010,0,99
2011,0,80
2012,0,72
2013,0,79
2014,0,75
2015,0,79
2016,0,80
2017,0,77
2018,0,71
2019,0,53
