year,Boys,Girls
1880,9,0
1881,6,0
1882,6,0
1883,5,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,5,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,6,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,6,0
1906,0,0
1907,0,0
1908,0,0
1909,6,0
1910,6,0
1911,0,0
1912,11,0
1913,16,0
1914,19,0
1915,17,0
1916,22,0
1917,16,0
1918,11,0
1919,13,0
1920,18,0
1921,16,0
1922,10,0
1923,19,0
1924,12,0
1925,16,0
1926,10,0
1927,19,0
1928,9,0
1929,15,0
1930,10,0
1931,11,0
1932,13,0
1933,0,0
1934,9,0
1935,12,0
1936,10,0
1937,14,0
1938,6,0
1939,8,0
1940,16,0
1941,5,0
1942,7,0
1943,8,0
1944,0,0
1945,0,0
1946,6,0
1947,10,0
1948,7,0
1949,7,0
1950,6,0
1951,6,0
1952,5,0
1953,8,0
1954,5,0
1955,12,0
1956,6,0
1957,8,0
1958,7,0
1959,8,0
1960,6,0
1961,0,0
1962,9,0
1963,7,0
1964,11,0
1965,0,0
1966,5,0
1967,6,0
1968,5,0
1969,10,0
1970,9,0
1971,8,0
1972,0,0
1973,0,0
1974,8,0
1975,5,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,6,0
1981,0,0
1982,0,0
1983,8,0
1984,7,0
1985,0,0
1986,0,0
1987,0,0
1988,6,0
1989,0,0
1990,0,0
1991,5,0
1992,0,0
1993,6,0
1994,0,0
1995,0,0
1996,0,0
1997,5,0
1998,0,0
1999,5,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,5,0
2010,0,0
2011,8,0
2012,0,0
2013,6,0
2014,5,0
2015,0,0
2016,6,0
2017,0,0
2018,0,0
2019,0,0
