year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,5
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,5
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,6
1898,0,7
1899,0,0
1900,0,5
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,7
1910,0,12
1911,0,9
1912,0,12
1913,0,10
1914,0,14
1915,0,20
1916,0,9
1917,0,26
1918,0,23
1919,0,25
1920,0,26
1921,0,33
1922,0,28
1923,0,34
1924,0,45
1925,0,37
1926,0,35
1927,0,47
1928,0,53
1929,0,61
1930,0,40
1931,0,32
1932,0,36
1933,0,35
1934,0,30
1935,0,30
1936,0,42
1937,0,32
1938,0,33
1939,0,37
1940,0,24
1941,0,37
1942,0,24
1943,0,28
1944,0,49
1945,0,29
1946,0,38
1947,0,46
1948,0,40
1949,0,40
1950,0,40
1951,0,31
1952,0,39
1953,0,49
1954,0,32
1955,0,42
1956,0,40
1957,0,46
1958,0,30
1959,0,44
1960,0,30
1961,0,32
1962,0,30
1963,0,39
1964,0,39
1965,0,28
1966,0,37
1967,0,48
1968,0,40
1969,0,36
1970,0,44
1971,0,38
1972,0,39
1973,0,48
1974,0,47
1975,0,46
1976,0,43
1977,0,42
1978,0,44
1979,0,57
1980,0,55
1981,0,57
1982,0,67
1983,0,53
1984,0,37
1985,0,41
1986,0,44
1987,0,45
1988,0,60
1989,0,54
1990,0,58
1991,0,71
1992,0,69
1993,0,64
1994,0,64
1995,0,60
1996,0,71
1997,0,56
1998,0,55
1999,0,57
2000,0,56
2001,0,67
2002,0,54
2003,0,58
2004,0,54
2005,0,59
2006,0,53
2007,0,63
2008,0,38
2009,0,47
2010,0,39
2011,0,31
2012,0,36
2013,0,44
2014,0,37
2015,0,28
2016,0,26
2017,0,37
2018,0,39
2019,0,21
