year,Girls,Boys
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,7
1901,0,0
1902,0,0
1903,0,7
1904,0,9
1905,0,10
1906,0,9
1907,0,0
1908,0,6
1909,0,7
1910,0,8
1911,0,7
1912,0,26
1913,0,35
1914,0,60
1915,0,56
1916,0,80
1917,0,78
1918,0,73
1919,0,66
1920,0,62
1921,0,63
1922,0,83
1923,0,69
1924,0,59
1925,0,60
1926,0,58
1927,0,41
1928,0,57
1929,0,58
1930,0,36
1931,0,34
1932,0,37
1933,0,31
1934,0,41
1935,0,31
1936,0,33
1937,0,20
1938,0,33
1939,0,23
1940,0,18
1941,0,24
1942,0,21
1943,0,33
1944,0,21
1945,0,23
1946,0,23
1947,0,26
1948,0,16
1949,0,16
1950,0,12
1951,0,9
1952,0,14
1953,0,31
1954,0,14
1955,0,12
1956,0,12
1957,0,13
1958,0,13
1959,0,14
1960,0,8
1961,0,14
1962,0,11
1963,0,13
1964,0,0
1965,0,16
1966,0,13
1967,0,0
1968,0,10
1969,0,9
1970,0,7
1971,0,9
1972,0,8
1973,0,8
1974,0,5
1975,0,6
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,6
1982,0,0
1983,0,6
1984,0,6
1985,0,5
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,5
1993,0,0
1994,0,0
1995,0,6
1996,0,0
1997,0,5
1998,0,6
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
