year,Girls,Boys
1880,0,88
1881,0,95
1882,0,104
1883,0,85
1884,0,97
1885,0,92
1886,0,53
1887,0,75
1888,0,70
1889,0,66
1890,0,68
1891,0,49
1892,0,64
1893,0,51
1894,0,61
1895,0,62
1896,0,46
1897,0,44
1898,0,55
1899,0,44
1900,0,57
1901,0,38
1902,0,42
1903,0,33
1904,0,44
1905,0,54
1906,0,36
1907,0,37
1908,0,54
1909,0,38
1910,0,58
1911,0,57
1912,0,90
1913,0,131
1914,0,131
1915,0,161
1916,0,185
1917,0,181
1918,0,205
1919,0,211
1920,0,221
1921,0,187
1922,0,201
1923,0,210
1924,0,186
1925,0,170
1926,0,194
1927,0,138
1928,0,174
1929,0,150
1930,0,145
1931,0,121
1932,0,139
1933,0,108
1934,0,104
1935,0,104
1936,0,111
1937,0,100
1938,0,99
1939,0,89
1940,0,115
1941,0,95
1942,0,114
1943,0,109
1944,0,113
1945,0,90
1946,0,87
1947,0,104
1948,0,109
1949,0,107
1950,0,110
1951,0,105
1952,0,134
1953,0,116
1954,0,122
1955,0,110
1956,0,126
1957,0,129
1958,0,143
1959,0,107
1960,0,123
1961,0,113
1962,0,128
1963,0,128
1964,0,124
1965,0,107
1966,0,85
1967,0,97
1968,0,87
1969,0,113
1970,0,101
1971,0,94
1972,0,98
1973,0,103
1974,0,96
1975,0,103
1976,0,106
1977,0,96
1978,0,81
1979,0,111
1980,0,84
1981,0,88
1982,0,77
1983,0,83
1984,0,73
1985,0,78
1986,0,77
1987,0,65
1988,0,72
1989,0,68
1990,0,68
1991,0,59
1992,0,64
1993,0,65
1994,0,67
1995,0,70
1996,0,80
1997,0,75
1998,0,82
1999,0,82
2000,0,71
2001,0,81
2002,0,67
2003,0,86
2004,0,101
2005,0,87
2006,0,92
2007,0,115
2008,0,93
2009,0,97
2010,0,93
2011,0,74
2012,0,85
2013,0,106
2014,0,100
2015,0,116
2016,0,90
2017,0,111
2018,0,106
2019,0,92
