year,Girls,Boys
1880,14,0
1881,14,0
1882,16,0
1883,23,0
1884,17,0
1885,20,0
1886,15,0
1887,19,0
1888,36,0
1889,25,0
1890,30,0
1891,31,0
1892,38,0
1893,47,0
1894,55,0
1895,50,0
1896,49,0
1897,58,0
1898,49,0
1899,47,0
1900,60,0
1901,51,0
1902,49,0
1903,72,0
1904,61,0
1905,63,0
1906,65,0
1907,60,0
1908,69,0
1909,87,0
1910,102,0
1911,104,0
1912,133,0
1913,150,0
1914,161,0
1915,209,0
1916,202,0
1917,185,0
1918,218,0
1919,229,0
1920,223,0
1921,217,0
1922,202,0
1923,182,0
1924,212,0
1925,178,0
1926,174,0
1927,151,0
1928,135,0
1929,120,0
1930,95,0
1931,99,0
1932,93,0
1933,81,0
1934,55,0
1935,74,0
1936,57,0
1937,46,0
1938,60,0
1939,53,0
1940,43,0
1941,60,0
1942,47,0
1943,43,0
1944,31,0
1945,31,0
1946,44,0
1947,45,0
1948,44,0
1949,36,0
1950,25,0
1951,43,0
1952,42,0
1953,22,0
1954,26,0
1955,25,0
1956,22,0
1957,22,0
1958,25,0
1959,14,0
1960,16,0
1961,13,0
1962,12,0
1963,10,0
1964,10,0
1965,6,0
1966,9,0
1967,10,0
1968,7,0
1969,11,0
1970,5,0
1971,7,0
1972,6,0
1973,0,0
1974,0,0
1975,5,0
1976,6,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
