year,Boys,Girls
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,6
1916,0,7
1917,0,10
1918,0,8
1919,0,10
1920,0,15
1921,0,11
1922,0,18
1923,0,21
1924,0,17
1925,0,29
1926,0,30
1927,0,27
1928,0,44
1929,0,61
1930,0,55
1931,0,61
1932,0,51
1933,0,45
1934,0,45
1935,0,35
1936,0,44
1937,0,36
1938,0,63
1939,0,55
1940,0,48
1941,0,41
1942,0,68
1943,0,29
1944,0,81
1945,0,60
1946,0,78
1947,0,108
1948,0,81
1949,0,82
1950,0,85
1951,0,88
1952,0,94
1953,0,97
1954,0,70
1955,0,115
1956,0,91
1957,0,131
1958,0,113
1959,0,126
1960,0,126
1961,0,118
1962,0,113
1963,0,117
1964,0,123
1965,0,112
1966,0,120
1967,0,112
1968,0,139
1969,0,135
1970,0,159
1971,0,156
1972,0,150
1973,0,186
1974,0,196
1975,0,194
1976,0,197
1977,0,217
1978,0,197
1979,5,210
1980,0,272
1981,0,218
1982,0,239
1983,5,210
1984,0,233
1985,0,238
1986,0,253
1987,0,288
1988,0,271
1989,0,282
1990,0,371
1991,0,370
1992,0,382
1993,0,380
1994,0,361
1995,0,364
1996,0,354
1997,0,377
1998,0,340
1999,0,360
2000,0,352
2001,0,368
2002,0,348
2003,0,328
2004,0,294
2005,0,301
2006,0,313
2007,0,286
2008,0,269
2009,0,229
2010,0,229
2011,0,190
2012,0,171
2013,0,171
2014,0,171
2015,0,145
2016,0,129
2017,0,123
2018,0,117
2019,0,110
