year,Girls,Boys
1880,5,0
1881,17,0
1882,12,0
1883,7,0
1884,12,0
1885,14,0
1886,17,0
1887,14,0
1888,17,0
1889,14,0
1890,18,0
1891,12,0
1892,17,0
1893,10,0
1894,13,0
1895,12,0
1896,19,0
1897,19,0
1898,9,0
1899,13,0
1900,18,0
1901,17,0
1902,8,0
1903,10,0
1904,13,0
1905,12,0
1906,11,0
1907,16,0
1908,6,0
1909,13,0
1910,8,0
1911,10,0
1912,17,0
1913,13,0
1914,17,0
1915,30,6
1916,21,0
1917,20,0
1918,13,0
1919,27,0
1920,26,0
1921,20,0
1922,19,0
1923,9,0
1924,17,0
1925,24,5
1926,12,0
1927,9,0
1928,10,0
1929,10,0
1930,8,0
1931,13,0
1932,10,0
1933,10,0
1934,18,0
1935,11,0
1936,9,0
1937,9,0
1938,12,0
1939,17,0
1940,8,0
1941,8,0
1942,15,0
1943,6,0
1944,7,0
1945,9,0
1946,5,0
1947,11,0
1948,6,0
1949,8,0
1950,5,0
1951,6,0
1952,9,0
1953,5,0
1954,9,0
1955,6,0
1956,7,0
1957,6,0
1958,13,0
1959,8,0
1960,12,0
1961,9,0
1962,16,0
1963,7,0
1964,14,6
1965,13,0
1966,13,0
1967,15,0
1968,14,0
1969,20,6
1970,18,0
1971,18,6
1972,18,7
1973,23,8
1974,20,6
1975,22,13
1976,14,10
1977,18,13
1978,19,15
1979,18,12
1980,25,19
1981,18,16
1982,17,18
1983,19,18
1984,19,12
1985,20,10
1986,12,12
1987,20,6
1988,16,15
1989,14,22
1990,21,16
1991,17,20
1992,26,23
1993,21,17
1994,14,13
1995,19,22
1996,15,24
1997,17,21
1998,21,27
1999,23,43
2000,21,35
2001,22,36
2002,24,54
2003,32,41
2004,43,51
2005,49,61
2006,38,55
2007,55,66
2008,55,70
2009,53,77
2010,56,76
2011,64,74
2012,62,109
2013,62,95
2014,95,98
2015,73,111
2016,73,114
2017,87,128
2018,102,123
2019,94,118
